"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Normal2Var",139118740,10000,10,10,1,1,5,0,0.0744,0.0676400419723149,0.0811599580276851,0.273,0.264268183501699,0.281731816498301,0.5234,0.51518401229948,0.53161598770052,5234,2730,744
"CVM","Normal2Var",3028648,10000,10,10,5,1,3,0,0.9645,0.9597333731917,0.9692666268083,0.9967,0.995575925048051,0.997824074951949,0.9993,0.998864926265128,0.999735073734871,9993,9967,9645
"CVM","Normal2Var",678231,10000,10,10,5,3,5,0,0.4369,0.424122977937248,0.449677022062753,0.7033,0.694346658428408,0.712253341571592,0.8079,0.801419501882727,0.814380498117273,8079,7033,4369
"CVM","Normal2Var",19743414,10000,10,10,5,1,5,0,0.6873,0.675357837642332,0.699242162357668,0.8914,0.885301720871721,0.897498279128279,0.957,0.953663000827465,0.960336999172535,9570,8914,6873
"CVM","Normal2Var",725607,10000,20,20,0.5,1,3,0,0.1161,0.107847917987665,0.124352082012335,0.4378,0.428076124927499,0.447523875072501,0.6736,0.66588666814654,0.68131333185346,6736,4378,1161
"CVM","Normal2Var",284573,10000,20,20,1.5,1,3,0,0.4782,0.465332248005911,0.491067751994089,0.7866,0.778569728109808,0.794630271890192,0.9012,0.89629143025593,0.90610856974407,9012,7866,4782
"CVM","Normal2Var",699979,10000,20,20,2,1,3,0,0.7065,0.694769784397276,0.718230215602724,0.9073,0.901615773252799,0.912984226747201,0.9641,0.961039628365382,0.967160371634618,9641,9073,7065
"CVM","Normal2Var",309453898,10000,20,20,2.5,1,3,0,0.8784,0.869981032951547,0.886818967048453,0.9748,0.971728050287912,0.977871949712088,0.9913,0.989772335165432,0.992827664834568,9913,9748,8784
"CVM","Normal2Var",138292490,10000,20,20,0.5,3,5,0,0.0241,0.0201494547649541,0.0280505452350459,0.1156,0.10933300489689,0.12186699510311,0.218,0.211208002371172,0.224791997628828,2180,1156,241
"CVM","Normal2Var",7097395,10000,20,20,1.5,3,5,0,0.0868,0.0795474843824383,0.0940525156175617,0.2486,0.240128852790419,0.257071147209581,0.3875,0.379485899170252,0.395514100829748,3875,2486,868
"CVM","Normal2Var",311267,10000,20,20,2,3,5,0,0.1575,0.148116365301228,0.166883634698772,0.3689,0.359442867167772,0.378357132832228,0.5135,0.505277998559087,0.521722001440913,5135,3689,1575
"CVM","Normal2Var",9257275,10000,20,20,2.5,3,5,0,0.2505,0.239338166436217,0.261661833563783,0.4995,0.489700004900001,0.509299995099999,0.6344,0.626477712790765,0.642322287209234,6344,4995,2505
"CVM","Normal2Var",292679270,10000,20,20,0.5,1,5,0,0.2305,0.219651101760197,0.241348898239803,0.7603,0.751932753113144,0.768667246886856,0.9245,0.920153968839346,0.928846031160654,9245,7603,2305
"CVM","Normal2Var",29332,10000,20,20,1.5,1,5,0,0.4158,0.40310394259213,0.42849605740787,0.8468,0.839740468528181,0.853859531471819,0.9545,0.951071851968719,0.957928148031281,9545,8468,4158
"CVM","Normal2Var",46571519,10000,20,20,2,1,5,0,0.5399,0.527061075674924,0.552738924325076,0.8956,0.889606736626645,0.901593263373355,0.9686,0.965731182254116,0.971468817745884,9686,8956,5399
"CVM","Normal2Var",8262411,10000,20,20,2.5,1,5,0,0.6688,0.65667618906989,0.68092381093011,0.9378,0.933066238448591,0.942533761551409,0.9846,0.982574388385919,0.986625611614081,9846,9378,6688
"CVM","Normal2Var",88691,10000,20,20,1,1,3,0,0.2607,0.249390934293206,0.272009065706794,0.603,0.593410190483644,0.612589809516356,0.7899,0.78319860857814,0.79660139142186,7899,6030,2607
"CVM","Normal2Var",7720248,10000,20,20,1,3,5,0,0.0428,0.0375860232749641,0.0480139767250359,0.1566,0.149476904802658,0.163723095197342,0.2748,0.267456498901178,0.282143501098822,2748,1566,428
"CVM","Normal2Var",246197,10000,20,20,1,1,5,0,0.3034,0.29155744577471,0.31524255422529,0.8021,0.79429103948951,0.809908960510491,0.9434,0.939598788330663,0.947201211669337,9434,8021,3034
"CVM","Normal2Var",40815866,10000,20,20,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Normal2Var",263017,10000,20,20,5,3,5,0,0.8516,0.842442421808723,0.860757578191277,0.9592,0.955322598821685,0.963077401178315,0.9826,0.980449056977254,0.984750943022746,9826,9592,8516
"CVM","Normal2Var",46122,10000,20,20,5,1,5,0,0.9839,0.980657841242273,0.987142158757727,0.9988,0.99812144358407,0.99947855641593,0.9997,0.999415120383714,0.999984879616286,9997,9988,9839
"CVM","Normal2Var",4709944,10000,100,100,0.5,1,3,0,0.999,0.99818580467798,0.99981419532202,1,1,1,1,1,1,10000,10000,9990
"CVM","Normal2Var",32814855,10000,100,100,1.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Normal2Var",477652,10000,100,100,2,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
