"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Cauchy",63318117,10000,20,20,0,1,1,1,0.0056,0.00367770325743812,0.00752229674256188,0.0288,0.0255220173384229,0.0320779826615771,0.0288,0.0260488359804621,0.0315511640195379,288,288,56
"Mood","Cauchy",277239561,10000,20,20,0,0.5,0.5,1,0.0051,0.00326506509471753,0.00693493490528247,0.026,0.0228809508115453,0.0291190491884547,0.026,0.0233822265739755,0.0286177734260245,260,260,51
"Mood","Cauchy",889466,10000,20,20,0,2,2,1,0.0041,0.00245394003130384,0.00574605996869616,0.0254,0.0223162005035346,0.0284837994964654,0.0254,0.0228118111368951,0.0279881888631049,254,254,41
"Mood","Cauchy",27817007,10000,20,20,0.5,1,1,0,0.0264,0.0222701136098067,0.0305298863901933,0.1047,0.0986991371032492,0.110700862896751,0.1047,0.0996635614973699,0.10973643850263,1047,1047,264
"Mood","Cauchy",18436,10000,20,20,0.5,0.5,0.5,0,0.1338,0.125030334971582,0.142569665028418,0.3357,0.326444201994339,0.344955798005661,0.3357,0.327931740959534,0.343468259040466,3357,3357,1338
"Mood","Cauchy",8113877,10000,20,20,0.5,2,2,0,0.0074,0.00519225528409102,0.00960774471590898,0.0426,0.038641710243249,0.046558289756751,0.0426,0.0392778639541554,0.0459221360458446,426,426,74
"Mood","Cauchy",74880,10000,20,20,0.5,0.5,2,0,0.0335,0.028864792384542,0.038135207615458,0.1086,0.102501720871721,0.114698279128279,0.1086,0.103481801445909,0.113718198554091,1086,1086,335
"Mood","Cauchy",699552,10000,20,20,0.5,1,2,0,0.0151,0.0119585481968644,0.0182414518031356,0.0641,0.0592993525904937,0.0689006474095064,0.0641,0.0600708852098786,0.0681291147901214,641,641,151
"Mood","Cauchy",8624263,10000,20,20,1,1,1,0,0.1438,0.134761155533308,0.152838844466692,0.3474,0.338067574898324,0.356732425101676,0.3474,0.339567428932522,0.355232571067478,3474,3474,1438
"Mood","Cauchy",2449667,10000,20,20,1,0.5,0.5,0,0.6064,0.593815006375309,0.618984993624691,0.8363,0.829047938816474,0.843552061183526,0.8363,0.830213448649541,0.842386551350459,8363,8363,6064
"Mood","Cauchy",237167420,10000,20,20,1,2,2,0,0.0262,0.0220853643038228,0.0303146356961772,0.1005,0.0946069559682623,0.106393044031738,0.1005,0.0955540523305058,0.105445947669494,1005,1005,262
"Mood","Cauchy",269946304,10000,20,20,1,0.5,2,0,0.1118,0.103682502848847,0.119917497151153,0.2683,0.259615737644589,0.276984262355411,0.2683,0.261011422665995,0.275588577334005,2683,2683,1118
"Mood","Cauchy",2944934,10000,20,20,1,1,2,0,0.0569,0.0509326588863662,0.0628673411136338,0.1753,0.167847619398769,0.182752380601231,0.1753,0.169045323423967,0.181554676576033,1753,1753,569
"Mood","Cauchy",349135,10000,20,20,1.5,1,1,0,0.3582,0.345848818439591,0.370551181560409,0.6293,0.619833351972234,0.638766648027766,0.6293,0.621354777548125,0.637245222451875,6293,6293,3582
"Mood","Cauchy",64185,10000,20,20,1.5,0.5,0.5,0,0.8954,0.887516478688683,0.903283521311317,0.9766,0.973637063390756,0.979562936609244,0.9766,0.974113249631527,0.979086750368473,9766,9766,8954
"Mood","Cauchy",590135,10000,20,20,1.5,2,2,0,0.0676,0.061132739731028,0.074067260268972,0.2025,0.194623488145124,0.210376511854876,0.2025,0.195889356121801,0.209110643878199,2025,2025,676
"Mood","Cauchy",31029818,10000,20,20,1.5,0.5,2,0,0.2612,0.249883923145106,0.272516076854893,0.4828,0.473005800180433,0.492594199819567,0.4828,0.474579868008578,0.491020131991422,4828,4828,2612
"Mood","Cauchy",82894,10000,20,20,1.5,1,2,0,0.1457,0.136611738016861,0.154788261983139,0.3401,0.330814646303,0.349385353697,0.3401,0.332306935290017,0.347893064709983,3401,3401,1457
"Mood","Cauchy",20991342,10000,20,20,2,1,1,0,0.6176,0.605081322711619,0.630118677288381,0.8376,0.83037117987785,0.84482882012215,0.8376,0.831532954540338,0.843667045459662,8376,8376,6176
"Mood","Cauchy",25583,10000,20,20,2,0.5,0.5,0,0.9728,0.968609729189132,0.976990270810868,0.9959,0.994647563067296,0.997152436932704,0.9959,0.994848847574338,0.996951152425662,9959,9959,9728
"Mood","Cauchy",11543412,10000,20,20,2,2,2,0,0.1336,0.124835880117165,0.142364119882835,0.3386,0.329324621443499,0.347875378556501,0.3386,0.330815307282937,0.346384692717063,3386,3386,1336
"Mood","Cauchy",104261536,10000,20,20,2,0.5,2,0,0.4464,0.433594221300588,0.459205778699412,0.6804,0.671260096527074,0.689539903472926,0.6804,0.672729009585223,0.688070990414777,6804,6804,4464
"Mood","Cauchy",10671046,10000,20,20,2,1,2,0,0.2976,0.285822460388646,0.309377539611354,0.5459,0.536141380842025,0.555658619157975,0.5459,0.537709730349557,0.554090269650444,5459,5459,2976
"Mood","Cauchy",261682,10000,20,20,2.5,1,1,0,0.7896,0.779100411071343,0.800099588928657,0.9327,0.927789399634098,0.937610600365902,0.9327,0.928578603264332,0.936821396735668,9327,9327,7896
"Mood","Cauchy",786620,10000,20,20,2.5,0.5,0.5,0,0.9915,0.989135160445527,0.993864839554473,0.9993,0.998781614273345,0.999818385726655,0.9993,0.998864926265128,0.999735073734871,9993,9993,9915
"Mood","Cauchy",209105,10000,20,20,2.5,2,2,0,0.2401,0.229096770763116,0.251103229236884,0.4938,0.484000753452964,0.503599246547036,0.4938,0.485575632362309,0.502024367637691,4938,4938,2401
"Mood","Cauchy",1070558,10000,20,20,2.5,0.5,2,0,0.6087,0.596128056125346,0.621271943874654,0.8113,0.803631105567971,0.818968894432029,0.8113,0.804863606458833,0.817736393541167,8113,8113,6087
"Mood","Cauchy",4542845,10000,20,20,2.5,1,2,0,0.4608,0.447959644860179,0.473640355139821,0.7175,0.708675781564354,0.726324218435646,0.7175,0.710093959527225,0.724906040472775,7175,7175,4608
"Mood","Cauchy",99335,10000,20,20,5,1,1,0,0.9912,0.988794153905451,0.993605846094549,0.9989,0.998250299171618,0.999549700828382,0.9989,0.99835471537618,0.99944528462382,9989,9989,9912
"Mood","Cauchy",1353538,10000,20,20,5,0.5,0.5,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"Mood","Cauchy",351645331,10000,20,20,5,2,2,0,0.792,0.781544612895086,0.802455387104914,0.938,0.933273351191383,0.942726648808617,0.938,0.934032991178482,0.941967008821518,9380,9380,7920
"Mood","Cauchy",97020826,10000,20,20,5,0.5,2,0,0.9554,0.950082519493107,0.960717480506893,0.9891,0.987064882816543,0.991135117183456,0.9891,0.987391955221028,0.990808044778972,9891,9891,9554
"Mood","Cauchy",130026218,10000,20,20,5,1,2,0,0.9242,0.917381898792308,0.931018101207692,0.9831,0.980573622343671,0.985626377656329,0.9831,0.980979647324152,0.985220352675848,9831,9831,9242
"Mood","Cauchy",142623,10000,20,20,5,0.5,1,0,0.9979,0.996720768647472,0.999079231352528,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9979
"Mood","Cauchy",12801326,10000,20,20,0.5,0.5,1,0,0.0596,0.0535014681149982,0.0656985318850018,0.1794,0.171879736689291,0.186920263310709,0.1794,0.173088350435655,0.185711649564345,1794,1794,596
"Mood","Cauchy",3267848,10000,20,20,1,0.5,1,0,0.2937,0.281967449422523,0.305432550577477,0.5445,0.534738890065162,0.554261109934838,0.5445,0.536307639876118,0.552692360123882,5445,5445,2937
"Mood","Cauchy",18731737,10000,20,20,1.5,0.5,1,0,0.6217,0.609207353156359,0.634192646843641,0.8304,0.82304449211173,0.83775550788827,0.8304,0.824226627308059,0.836573372691941,8304,8304,6217
"Mood","Cauchy",7109910,10000,20,20,2,0.5,1,0,0.8276,0.817869733607376,0.837330266392624,0.9486,0.944272080332723,0.952927919667277,0.9486,0.944967638850679,0.952232361149321,9486,9486,8276
"Mood","Cauchy",676351,10000,20,20,2.5,0.5,1,0,0.9251,0.918319197299123,0.931880802700877,0.9826,0.980037174270771,0.985162825729229,0.9826,0.980449056977254,0.984750943022746,9826,9826,9251
"Mood","Cauchy",2658154,10000,100,100,0,1,1,1,0.0069,0.00476760873419909,0.00903239126580091,0.0365,0.0328243989824792,0.0401756010175208,0.0647,0.0606533698796684,0.0687466301203316,647,365,69
"Mood","Cauchy",21504261,10000,100,100,0,0.5,0.5,1,0.0062,0.0041779532159082,0.0082220467840918,0.0282,0.0249553409113437,0.0314446590886563,0.0609,0.0569660352070748,0.0648339647929252,609,282,62
"Mood","Cauchy",45292,10000,100,100,0,2,2,1,0.006,0.00401063406925724,0.00798936593074276,0.0325,0.0290244524172442,0.0359755475827558,0.066,0.0619157594941042,0.0700842405058958,660,325,60
"Mood","Cauchy",394557,10000,100,100,0.5,1,1,0,0.3099,0.297987232644955,0.321812767355045,0.5281,0.518315488595622,0.537884511404378,0.637,0.629089773285329,0.644910226714671,6370,5281,3099
"Mood","Cauchy",39642,10000,100,100,0.5,0.5,0.5,0,0.9367,0.930427394510226,0.942972605489773,0.9799,0.977149288906773,0.982650711093227,0.9896,0.987931168782171,0.991268831217829,9896,9799,9367
"Mood","Cauchy",24547,10000,100,100,0.5,2,2,0,0.0542,0.0483676287996102,0.0600323712003898,0.1592,0.152029095238563,0.166370904761437,0.2398,0.232776486455064,0.246823513544936,2398,1592,542
"Mood","Cauchy",1206947,10000,100,100,0.5,0.5,2,0,0.21,0.199507739812605,0.220492260187395,0.3858,0.376259039693113,0.395340960306887,0.4813,0.473080754413465,0.489519245586535,4813,3858,2100
"Mood","Cauchy",40352680,10000,100,100,0.5,1,2,0,0.1208,0.11240495234968,0.12919504765032,0.27,0.261298394630874,0.278701605369126,0.3694,0.361460533308647,0.377339466691353,3694,2700,1208
"Mood","Cauchy",7387419,10000,100,100,1,1,1,0,0.9358,0.929485995411727,0.942114004588273,0.9802,0.97746947589031,0.98293052410969,0.9913,0.989772335165432,0.992827664834568,9913,9802,9358
"Mood","Cauchy",3340040,10000,100,100,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Cauchy",193560381,10000,100,100,1,2,2,0,0.3112,0.299273521706981,0.323126478293019,0.5351,0.525324177219364,0.544875822780636,0.6404,0.632505922142289,0.648294077857711,6404,5351,3112
"Mood","Cauchy",1888399,10000,100,100,1,0.5,2,0,0.7358,0.724442253869155,0.747157746130846,0.8651,0.858404312098193,0.871795687901807,0.9097,0.904985247767828,0.914414752232172,9097,8651,7358
"Mood","Cauchy",50894,10000,100,100,1,1,2,0,0.5729,0.560157634577254,0.585642365422746,0.776,0.767828327720717,0.784171672279283,0.8479,0.841992512287954,0.853807487712046,8479,7760,5729
"Mood","Cauchy",652031,10000,100,100,1.5,1,1,0,0.9996,0.999084903050306,1.00011509694969,1,1,1,1,1,1,10000,10000,9996
"Mood","Cauchy",534004,10000,100,100,1.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Cauchy",1196892,10000,100,100,1.5,2,2,0,0.703,0.691229314774339,0.714770685225661,0.8629,0.856158523371367,0.869641476628633,0.9164,0.911846853950113,0.920953146049887,9164,8629,7030
"Mood","Cauchy",461982,10000,100,100,1.5,0.5,2,0,0.9741,0.970008359088319,0.978191640911681,0.9917,0.989921780885942,0.993478219114058,0.9954,0.994286875770141,0.996513124229859,9954,9917,9741
"Mood","Cauchy",153935165,10000,100,100,1.5,1,2,0,0.9313,0.92478418074552,0.93781581925448,0.9788,0.975976609284991,0.981623390715009,0.9889,0.987176530587456,0.990623469412544,9889,9788,9313
"Mood","Cauchy",151110172,10000,100,100,2,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Cauchy",26358,10000,100,100,2,0.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
