"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Cauchy",16490868,1000,20,20,2.5,0.5,2,0,0.528,0.487333778739401,0.568666221260599,0.77,0.743916530905572,0.796083469094428,0.845,0.826173911070671,0.863826088929329
"Yuen","Cauchy",146733433,1000,20,20,2.5,1,2,0,0.478,0.437309309609986,0.518690690390014,0.717,0.689080420891425,0.744919579108575,0.802,0.781270650133205,0.822729349866795
"Yuen","Cauchy",8537787,1000,100,100,0,1,1,1,0.008,0.000743174362298623,0.0152568256377014,0.051,0.0373643995951773,0.0646356004048227,0.089,0.0741877820372842,0.103812217962716
"Yuen","Cauchy",135230130,1000,100,100,0,0.5,0.5,1,0.009,0.00130685460010016,0.0166931453998998,0.052,0.038238622394542,0.065761377605458,0.1,0.0843941597470691,0.115605840252931
"Yuen","Cauchy",332306013,1000,100,100,0,2,2,1,0.009,0.00130685460010016,0.0166931453998998,0.052,0.038238622394542,0.065761377605458,0.101,0.0853250402241345,0.116674959775865
"Yuen","Cauchy",7792493,1000,100,100,0,0.5,2,1,0.009,0.00130685460010016,0.0166931453998998,0.042,0.0295673567733969,0.0544326432266031,0.089,0.0741877820372842,0.103812217962716
"Yuen","Cauchy",19230,1000,100,100,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.049,0.0356203617986135,0.0623796382013865,0.1,0.0843941597470691,0.115605840252931
"Yuen","Cauchy",10735584,1000,100,100,0.5,1,1,0,0.332,0.293637832983837,0.370362167016163,0.552,0.521177730232833,0.582822269767167,0.675,0.65063538971428,0.69936461028572
"Yuen","Cauchy",31934,1000,100,100,0.5,0.5,0.5,0,0.925,0.903544069351343,0.946455930648658,0.976,0.966513923972474,0.985486076027526,0.988,0.982335846718176,0.993664153281824
"Yuen","Cauchy",810539,1000,100,100,0.5,2,2,0,0.046,0.0289352880486074,0.0630647119513926,0.161,0.138220195646143,0.183779804353857,0.261,0.238154094546834,0.283845905453166
"Yuen","Cauchy",168822796,1000,100,100,0.5,0.5,2,0,0.119,0.0926240996350077,0.145375900364992,0.288,0.259933237992244,0.316066762007756,0.388,0.362651195838857,0.413348804161143
"Yuen","Cauchy",98812903,1000,100,100,0.5,1,2,0,0.082,0.0596501750750481,0.104349824924952,0.242,0.215454044797747,0.268545955202253,0.356,0.331092288029608,0.380907711970392
"Yuen","Cauchy",1650488,1000,100,100,1,1,1,0,0.915,0.892282221094482,0.937717778905518,0.975,0.965323275347515,0.984676724652484,0.989,0.983574242359357,0.994425757640643
"Yuen","Cauchy",8896631,1000,100,100,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",69049,1000,100,100,1,2,2,0,0.306,0.268460688146105,0.343539311853895,0.549,0.518158853484347,0.579841146515653,0.666,0.641465554314393,0.690534445685607
"Yuen","Cauchy",32493,1000,100,100,1,0.5,2,0,0.565,0.524615499923857,0.605384500076143,0.784,0.758494080875216,0.809505919124784,0.861,0.843004045844274,0.878995954155726
"Yuen","Cauchy",8205972,1000,100,100,1,1,2,0,0.481,0.440299281519069,0.521700718480931,0.728,0.700419241025672,0.755580758974328,0.818,0.79792857309756,0.83807142690244
"Yuen","Cauchy",175894865,1000,100,100,1.5,1,1,0,0.997,0.99254493479105,1.00145506520895,0.998,0.995230914663648,1.00076908533635,1,1,1
"Yuen","Cauchy",11259624,1000,100,100,1.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",1971669,1000,100,100,1.5,2,2,0,0.66,0.621411554392539,0.698588445607461,0.854,0.832114249969444,0.875885750030556,0.91,0.895112977211679,0.924887022788321
"Yuen","Cauchy",46227,1000,100,100,1.5,0.5,2,0,0.923,0.901283388015254,0.944716611984746,0.977,0.967708897073006,0.986291102926994,0.984,0.977472852261516,0.990527147738484
"Yuen","Cauchy",384898,1000,100,100,1.5,1,2,0,0.88,0.853528544701887,0.906471455298113,0.956,0.943288074009026,0.968711925990974,0.972,0.963418206690907,0.980581793309093
"Yuen","Cauchy",22927,1000,100,100,2,1,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",321653249,1000,100,100,2,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",1934305,1000,100,100,2,2,2,0,0.917,0.894526559072185,0.939473440927815,0.982,0.973759604281347,0.990240395718653,0.993,0.988662998757782,0.997337001242218
"Yuen","Cauchy",5870579,1000,100,100,2,0.5,2,0,0.991,0.9833068546001,0.9986931453999,0.997,0.993610276471451,1.00038972352855,1,1,1
"Yuen","Cauchy",30789096,1000,100,100,2,1,2,0,0.985,0.975098303660483,0.994901696339517,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"Yuen","Cauchy",152123,1000,100,100,2.5,1,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",35435,1000,100,100,2.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuen","Cauchy",20957326,1000,100,100,2.5,2,2,0,0.99,0.981894805221341,0.998105194778659,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"Yuen","Cauchy",23158,1000,100,100,2.5,0.5,2,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"Yuen","Cauchy",41056,1000,100,100,2.5,1,2,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"Yuen","Cauchy",152366,1000,10,100,0,1,1,1,0.006,-0.000290927440687899,0.0122909274406879,0.037,0.0253004252384969,0.0486995747615031,0.092,0.0769650239641029,0.107034976035897
"Yuen","Cauchy",18228519,1000,10,100,0,0.5,0.5,1,0.005,-0.000745692786775151,0.0107456927867752,0.033,0.0219279948699434,0.0440720051300566,0.064,0.0512680825638869,0.0767319174361131
"Yuen","Cauchy",2422505,1000,10,100,0,2,2,1,0.01,0.00189480522134107,0.0181051947786589,0.043,0.0304267871409094,0.0555732128590905,0.072,0.0585535965254645,0.0854464034745355
"Yuen","Cauchy",70415069,1000,10,100,0,0.5,2,1,0.007,0.000208440607931048,0.013791559392069,0.041,0.0287098466079548,0.0532901533920452,0.094,0.0788192255434711,0.109180774456529
"Yuen","Cauchy",3771167,1000,10,100,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.044,0.031288074009026,0.056711925990974,0.084,0.0695704335616069,0.0984295664383931
"Yuen","Cauchy",49924770,1000,10,100,0.5,1,1,0,0.036,0.0208247579820287,0.0511752420179712,0.122,0.101714615468274,0.142285384531726,0.194,0.17343000016772,0.21456999983228
"Yuen","Cauchy",54854,1000,10,100,0.5,0.5,0.5,0,0.149,0.119992936015101,0.178007063984899,0.366,0.336143338592535,0.395856661407465,0.491,0.464994480163338,0.517005519836662
"Yuen","Cauchy",3906884,1000,10,100,0.5,2,2,0,0.012,0.00313017698846251,0.0208698230115375,0.056,0.0417493037924458,0.0702506962075542,0.102,0.0862563960320389,0.117743603967961
"Yuen","Cauchy",183740500,1000,10,100,0.5,0.5,2,0,0.065,0.0449179362016749,0.0850820637983251,0.193,0.168539152884661,0.217460847115339,0.281,0.25761790033006,0.30438209966994
"Yuen","Cauchy",14589119,1000,10,100,0.5,1,2,0,0.029,0.0153304419828584,0.0426695580171416,0.097,0.0786563475392713,0.115343652460729,0.158,0.139026367192865,0.176973632807135
"Yuen","Cauchy",64670293,1000,10,100,1,1,1,0,0.142,0.113566280497691,0.170433719502309,0.332,0.302811394661615,0.361188605338385,0.466,0.440050470426229,0.491949529573771
"Yuen","Cauchy",50500690,1000,10,100,1,0.5,0.5,0,0.508,0.467275077528177,0.548724922471823,0.749,0.722125905440369,0.775874094559631,0.85,0.831425334794403,0.868574665205597
"Yuen","Cauchy",400623,1000,10,100,1,2,2,0,0.035,0.0200292507067949,0.0499707492932051,0.115,0.0952268151275522,0.134773184872448,0.193,0.172470360456769,0.213529639543231
"Yuen","Cauchy",188478,1000,10,100,1,0.5,2,0,0.306,0.268460688146105,0.343539311853895,0.555,0.524197740991934,0.585802259008066,0.684,0.659815478760166,0.708184521239834
