"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"CVM","Cauchy",20933213,1000,100,100,0,1,1,1,0.005,-0.000745692786775151,0.0107456927867752,0.053,0.0391142610711565,0.0668857389288435,0.093,0.0778918593210481,0.108108140678952
"CVM","Cauchy",1269935,1000,100,100,0,0.5,0.5,1,0.009,0.00130685460010016,0.0166931453998998,0.053,0.0391142610711565,0.0668857389288435,0.101,0.0853250402241345,0.116674959775865
"CVM","Cauchy",48798462,1000,100,100,0,2,2,1,0.018,0.00716976562691277,0.0288302343730872,0.058,0.0435124309285512,0.0724875690714488,0.112,0.0955948050179219,0.128405194982078
"CVM","Cauchy",220641739,1000,100,100,0,0.5,2,1,0.921,0.899027006895191,0.942972993104809,0.996,0.992087847855719,0.999912152144281,0.998,0.995675946235562,1.00032405376444
"CVM","Cauchy",59354,1000,100,100,0,1,2,1,0.102,0.0773461861267673,0.126653813873233,0.432,0.401297615050293,0.462702384949707,0.643,0.618076702770801,0.667923297229199
"CVM","Cauchy",225579197,1000,100,100,0.5,1,1,0,0.342,0.303356908923638,0.380643091076362,0.56,0.529233618347293,0.590766381652707,0.673,0.648596770136414,0.697403229863586
"CVM","Cauchy",797674,1000,100,100,0.5,0.5,0.5,0,0.949,0.931078925182233,0.966921074817767,0.988,0.981251221621656,0.994748778378344,0.995,0.991330875530184,0.998669124469816
"CVM","Cauchy",317232,1000,100,100,0.5,2,2,0,0.067,0.0466331398213667,0.0873668601786333,0.184,0.159983480885024,0.208016519114976,0.293,0.26932394068315,0.31667605931685
"CVM","Cauchy",17159423,1000,100,100,0.5,0.5,2,0,0.974,0.961036806279932,0.986963193720068,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"CVM","Cauchy",356467792,1000,100,100,0.5,1,2,0,0.332,0.293637832983837,0.370362167016163,0.673,0.643923811226366,0.702076188773634,0.825,0.805234313587052,0.844765686412948
"CVM","Cauchy",60437,1000,100,100,1,1,1,0,0.921,0.899027006895191,0.942972993104809,0.977,0.967708897073006,0.986291102926994,0.987,0.981107546625131,0.992892453374869
"CVM","Cauchy",18884,1000,100,100,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",518451,1000,100,100,1,2,2,0,0.307,0.269426498968342,0.344573501031658,0.564,0.533264600109971,0.594735399890029,0.701,0.677184456042849,0.724815543957151
"CVM","Cauchy",180144949,1000,100,100,1,0.5,2,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"CVM","Cauchy",98916063,1000,100,100,1,1,2,0,0.789,0.755762711411669,0.822237288588331,0.952,0.938750631954693,0.965249368045307,0.98,0.972717274548632,0.987282725451368
"CVM","Cauchy",2014378,1000,100,100,1.5,1,1,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",2602208,1000,100,100,1.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",59367505,1000,100,100,1.5,2,2,0,0.701,0.663705871590504,0.738294128409496,0.869,0.848087709298118,0.889912290701881,0.934,0.921084497489451,0.946915502510549
"CVM","Cauchy",1679560,1000,100,100,1.5,0.5,2,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",125944814,1000,100,100,1.5,1,2,0,0.981,0.969878658854976,0.992121341145024,1,1,1,1,1,1
"CVM","Cauchy",73917,1000,100,100,2,1,1,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",563959,1000,100,100,2,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",82780,1000,100,100,2,2,2,0,0.939,0.919504087261582,0.958495912738418,0.987,0.979979204489518,0.994020795510482,0.995,0.991330875530184,0.998669124469816
"CVM","Cauchy",356486,1000,100,100,2,0.5,2,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",181316,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",104932514,1000,100,100,2.5,1,1,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",787940,1000,100,100,2.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",176683602,1000,100,100,2.5,2,2,0,0.996,0.99085831432466,1.00114168567534,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"CVM","Cauchy",800284,1000,100,100,2.5,0.5,2,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",25000925,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"CVM","Cauchy",1205235,1000,10,100,0,1,1,1,0.012,0.00313017698846251,0.0208698230115375,0.048,0.0347506319546931,0.0612493680453069,0.093,0.0778918593210481,0.108108140678952
"CVM","Cauchy",62262823,1000,10,100,0,0.5,0.5,1,0.009,0.00130685460010016,0.0166931453998998,0.04,0.0278543242262935,0.0521456757737065,0.096,0.0806755204460315,0.111324479553969
"CVM","Cauchy",27978556,1000,10,100,0,2,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.047,0.0338824885896753,0.0601175114103247,0.097,0.0816044345418884,0.112395565458112
"CVM","Cauchy",59560688,1000,10,100,0,0.5,2,1,0,0,0,0.094,0.0759122687326464,0.112087731267354,0.291,0.267371534709698,0.314628465290302
"CVM","Cauchy",1002380,1000,10,100,0,1,2,1,0.004,-0.00114168567534034,0.00914168567534034,0.037,0.0253004252384969,0.0486995747615031,0.109,0.0927886940077303,0.12521130599227
"CVM","Cauchy",11548037,1000,10,100,0.5,1,1,0,0.046,0.0289352880486074,0.0630647119513926,0.15,0.127868484010353,0.172131515989647,0.25,0.2274749098226,0.2725250901774
"CVM","Cauchy",22115824,1000,10,100,0.5,0.5,0.5,0,0.176,0.144978285369374,0.207021714630626,0.377,0.346962016818701,0.407037983181299,0.499,0.472990318264635,0.525009681735365
"CVM","Cauchy",34997985,1000,10,100,0.5,2,2,0,0.019,0.00787865885497617,0.0301213411450238,0.072,0.0559787533069364,0.0880212466930635,0.138,0.120058486410004,0.155941513589996
"CVM","Cauchy",23862577,1000,10,100,0.5,0.5,2,0,0.025,0.0122820190281633,0.0377179809718367,0.21,0.184754773916639,0.235245226083361,0.419,0.393333835113617,0.444666164886383
"CVM","Cauchy",349961,1000,10,100,0.5,1,2,0,0.007,0.000208440607931048,0.013791559392069,0.077,0.0604764908811718,0.0935235091188282,0.182,0.16192857309756,0.20207142690244
"CVM","Cauchy",205711,1000,10,100,1,1,1,0,0.174,0.143117638208453,0.204882361791547,0.412,0.381493432680814,0.442506567319186,0.553,0.527136801710249,0.578863198289751
"CVM","Cauchy",350929941,1000,10,100,1,0.5,0.5,0,0.627,0.587605640392361,0.666394359607639,0.842,0.819393118357456,0.864606881642544,0.907,0.891891859321048,0.922108140678952
"CVM","Cauchy",2382922,1000,10,100,1,2,2,0,0.045,0.0281129495292991,0.0618870504707009,0.135,0.11381975354251,0.15618024645749,0.227,0.205209430645919,0.248790569354081
"CVM","Cauchy",595288,1000,10,100,1,0.5,2,0,0.151,0.121833240710974,0.180166759289026,0.494,0.4630119103138,0.5249880896862,0.671,0.646558654436079,0.695441345563921
"CVM","Cauchy",97361,1000,10,100,1,1,2,0,0.064,0.0440623590787676,0.0839376409212324,0.255,0.227985041921187,0.282014958078813,0.412,0.386396273857112,0.437603726142888
