"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",3966830,10000,20,20,0.5,0.125,0,0.0146,0.0115102128295328,0.0176897871704672,0.0614,0.0566947735265558,0.0661052264734442,0.115,0.109752089040628,0.120247910959372,1150,614,146
"CVM","Exp",126174,10000,20,20,1,1,0,0.9122,0.904909821693949,0.919490178306051,0.9822,0.979608411540078,0.984791588459922,0.9939,0.992619138519989,0.995180861480011,9939,9822,9122
"CVM","Exp",116161,10000,20,20,1,0.5,0,0.3597,0.347337456620921,0.372062543379079,0.6306,0.621140209899665,0.640059790100335,0.7606,0.75358050068715,0.76761949931285,7606,6306,3597
"CVM","Exp",109044,10000,20,20,1,0.25,0,0.0761,0.0692695287038811,0.0829304712961189,0.217,0.208920828646451,0.225079171353549,0.3401,0.332306935290017,0.347893064709983,3401,2170,761
"CVM","Exp",131417401,10000,20,20,1,0.125,0,0.0233,0.0194139855331283,0.0271860144668717,0.092,0.0863350913723168,0.0976649086276832,0.1621,0.156037475524753,0.168162524475247,1621,920,233
"CVM","Exp",52914,10000,20,20,1.5,1,0,0.9957,0.994014439520463,0.997385560479537,0.9995,0.99906184025744,0.99993815974256,0.9998,0.999567385133966,1.00003261486603,9998,9995,9957
"CVM","Exp",94376,10000,20,20,1.5,0.5,0,0.711,0.699323045702307,0.722676954297693,0.9012,0.895351491368768,0.907048508631232,0.9534,0.949932659962579,0.956867340037421,9534,9012,7110
"CVM","Exp",23959,10000,20,20,1.5,0.25,0,0.185,0.17499745469193,0.19500254530807,0.4255,0.415809395480157,0.435190604519843,0.5695,0.561354845165721,0.577645154834279,5695,4255,1850
"CVM","Exp",59649,10000,20,20,1.5,0.125,0,0.0456,0.0402260515594524,0.0509739484405476,0.1511,0.144080332033037,0.158119667966963,0.2454,0.238321168383759,0.252478831616242,2454,1511,456
"CVM","Exp",83876208,10000,20,20,2,1,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"CVM","Exp",379894,10000,20,20,2,0.5,0,0.9142,0.906985435655791,0.921414564344209,0.982,0.979394158070796,0.984605841929204,0.9933,0.991958027793218,0.994641972206782,9933,9820,9142
"CVM","Exp",11515364,10000,20,20,2,0.25,0,0.3628,0.350414390550723,0.375185609449277,0.6365,0.627072262475015,0.645927737524984,0.7655,0.758530366786955,0.772469633213045,7655,6365,3628
"CVM","Exp",427959,10000,20,20,2,0.125,0,0.0736,0.0668735791059506,0.0803264208940494,0.2246,0.216420554827227,0.232779445172773,0.3419,0.334097003752085,0.349702996247915,3419,2246,736
"CVM","Exp",19938,10000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",11951173,10000,20,20,2.5,0.5,0,0.9772,0.973354923264691,0.981045076735309,0.9974,0.996401892251107,0.998398107748893,0.9996,0.999271065806581,0.999928934193419,9996,9974,9772
