"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"VW","Cauchy",139110572,1000,10,10,1,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.086,0.0686228562070748,0.103377143792925,0.153,0.134273641951116,0.171726358048884
"VW","Cauchy",20648,1000,10,10,1,0.5,2,0,0.039,0.0232297035949225,0.0547702964050775,0.139,0.117558012069773,0.160441987930227,0.221,0.199416057867595,0.242583942132405
"VW","Cauchy",77281420,1000,10,10,1,1,2,0,0.024,0.0115325857923946,0.0364674142076054,0.094,0.0759122687326464,0.112087731267354,0.17,0.150459781794975,0.189540218205025
"VW","Cauchy",132879,1000,10,10,1.5,1,1,0,0.106,0.0809234636190721,0.131076536380928,0.305,0.276463651950539,0.333536348049461,0.441,0.415171980777168,0.466828019222832
"VW","Cauchy",113825,1000,10,10,1.5,0.5,0.5,0,0.362,0.322851918541824,0.401148081458176,0.625,0.594993750650906,0.655006249349094,0.751,0.728505023472451,0.773494976527549
"VW","Cauchy",39887621,1000,10,10,1.5,2,2,0,0.037,0.0216234160277388,0.0523765839722612,0.124,0.103572323715116,0.144427676284884,0.211,0.189775101037343,0.232224898962657
"VW","Cauchy",38514,1000,10,10,1.5,0.5,2,0,0.087,0.0640416393560864,0.109958360643914,0.236,0.209681644306682,0.262318355693318,0.345,0.320271595292559,0.369728404707441
"VW","Cauchy",393926,1000,10,10,1.5,1,2,0,0.048,0.0305865448547395,0.0654134551452605,0.17,0.146718037883374,0.193281962116626,0.279,0.25566887737431,0.30233112262569
"VW","Cauchy",4773680,1000,10,10,2,1,1,0,0.186,0.154303264686974,0.217696735313026,0.444,0.413204663625802,0.474795336374198,0.578,0.552308701981021,0.603691298018979
"VW","Cauchy",10530734,1000,10,10,2,0.5,0.5,0,0.512,0.471281595705922,0.552718404294078,0.734,0.706612971128653,0.761387028871347,0.832,0.812551674869028,0.851448325130972
"VW","Cauchy",76759,1000,10,10,2,2,2,0,0.052,0.0339136180042552,0.0700863819957448,0.174,0.150502550810779,0.19749744918922,0.279,0.25566887737431,0.30233112262569
"VW","Cauchy",84145943,1000,10,10,2,0.5,2,0,0.126,0.0989674604185252,0.153032539581475,0.326,0.296946743411452,0.355053256588548,0.437,0.411197557542453,0.462802442457547
"VW","Cauchy",5640544,1000,10,10,2,1,2,0,0.078,0.056154669450521,0.099845330549479,0.248,0.221233546488188,0.274766453511812,0.374,0.348829672288586,0.399170327711414
"VW","Cauchy",69776,1000,10,10,2.5,1,1,0,0.27,0.233834941592747,0.306165058407253,0.528,0.497058309910414,0.558941690089586,0.67,0.645539784802664,0.694460215197336
"VW","Cauchy",53928220,1000,10,10,2.5,0.5,0.5,0,0.623,0.583521507818864,0.662478492181136,0.849,0.826807900540958,0.871192099459042,0.912,0.89726315018737,0.92673684981263
"VW","Cauchy",565302,1000,10,10,2.5,2,2,0,0.074,0.0526760717825256,0.0953239282174744,0.222,0.196241393950759,0.247758606049241,0.332,0.30750242051957,0.35649757948043
"VW","Cauchy",262855193,1000,10,10,2.5,0.5,2,0,0.203,0.170234029316744,0.235765970683256,0.43,0.399314886997112,0.460685113002888,0.546,0.520100573344184,0.571899426655816
"VW","Cauchy",3885350,1000,10,10,2.5,1,2,0,0.147,0.1181544355504,0.1758455644496,0.343,0.313577076936511,0.372422923063489,0.473,0.447028216122588,0.498971783877412
"VW","Cauchy",6731941,1000,20,20,0,1,1,1,0.009,0.00130685460010016,0.0166931453998998,0.05,0.0364916322229516,0.0635083677770484,0.107,0.0909200934463225,0.123079906553677
"VW","Cauchy",618175,1000,20,20,0,0.5,0.5,1,0.006,-0.000290927440687899,0.0122909274406879,0.056,0.0417493037924458,0.0702506962075542,0.101,0.0853250402241345,0.116674959775865
"VW","Cauchy",161977485,1000,20,20,0,2,2,1,0.008,0.000743174362298623,0.0152568256377014,0.053,0.0391142610711565,0.0668857389288435,0.105,0.0890532542700713,0.120946745729929
"VW","Cauchy",18924099,1000,20,20,0,0.5,2,1,0.009,0.00130685460010016,0.0166931453998998,0.057,0.0426302455970883,0.0713697544029117,0.099,0.0834637609449713,0.114536239055029
"VW","Cauchy",139643326,1000,20,20,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.044,0.031288074009026,0.056711925990974,0.105,0.0890532542700713,0.120946745729929
"VW","Cauchy",74678,1000,20,20,0.5,1,1,0,0.032,0.017662992035435,0.046337007964565,0.123,0.102643250907868,0.143356749092132,0.2,0.179192212996092,0.220807787003908
"VW","Cauchy",72657,1000,20,20,0.5,0.5,0.5,0,0.118,0.0917202545108215,0.144279745489179,0.323,0.294016444082894,0.351983555917106,0.437,0.411197557542453,0.462802442457547
"VW","Cauchy",1254875,1000,20,20,0.5,2,2,0,0.015,0.00509830366048322,0.0249016963395168,0.065,0.0497201688491005,0.0802798311508995,0.12,0.103095673926477,0.136904326073523
"VW","Cauchy",224735299,1000,20,20,0.5,0.5,2,0,0.024,0.0115325857923946,0.0364674142076054,0.081,0.0640895043715449,0.0979104956284551,0.154,0.135223638235803,0.172776361764197
"VW","Cauchy",1045956,1000,20,20,0.5,1,2,0,0.019,0.00787865885497617,0.0301213411450238,0.085,0.0677147334414537,0.102285266558546,0.146,0.127631602652926,0.164368397347074
