"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Normal2Var",367090,10000,100,100,2.5,1,5,0,0.9476,0.941859839600758,0.953340160399242,0.9887,0.986628296688809,0.990771703311191,0.9951,0.993951324639432,0.996248675360567,9951,9887,9476
"BM","Normal2Var",200941,10000,100,100,1,1,3,0,0.6035,0.590898968659098,0.616101031340902,0.8155,0.807897328261723,0.823102671738277,0.8849,0.879650104465423,0.890149895534577,8849,8155,6035
"BM","Normal2Var",1879600,10000,100,100,1,3,5,0,0.1775,0.167657328500859,0.187342671499141,0.3803,0.370784973938785,0.389815026061215,0.5015,0.493275037012583,0.509724962987417,5015,3803,1775
"BM","Normal2Var",1761905,10000,100,100,1,1,5,0,0.1941,0.183911759123394,0.204288240876606,0.3954,0.3858168458233,0.4049831541767,0.5184,0.510180571198824,0.526619428801176,5184,3954,1941
"BM","Normal2Var",96941732,10000,100,100,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BM","Normal2Var",88537,10000,100,100,5,3,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BM","Normal2Var",47400,10000,100,100,5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BM","Normal2Var",104716839,10000,10,100,0.5,1,3,0,0.07,0.0634274128564164,0.0765725871435836,0.1882,0.180538912821172,0.195861087178828,0.2824,0.27499475445582,0.28980524554418,2824,1882,700
"BM","Normal2Var",73244,10000,10,100,1.5,1,3,0,0.7184,0.706813684622291,0.729986315377709,0.8792,0.872812463744322,0.885587536255678,0.9337,0.929607145122683,0.937792854877317,9337,8792,7184
"BM","Normal2Var",83080,10000,10,100,2,1,3,0,0.9412,0.935139960136876,0.947260039863124,0.9861,0.98380531038125,0.98839468961875,0.9946,0.993394445052642,0.995805554947358,9946,9861,9412
"BM","Normal2Var",279610,10000,10,100,2.5,1,3,0,0.9945,0.992594848148414,0.996405151851586,0.9992,0.998645850076604,0.999754149923396,0.9999,0.999735508225206,1.00006449177479,9999,9992,9945
"BM","Normal2Var",323063969,10000,10,100,0.5,3,5,0,0.0228,0.0189549232646908,0.0266450767353092,0.0747,0.0695470295337932,0.0798529704662068,0.1319,0.12633361580647,0.137466384193529,1319,747,228
"BM","Normal2Var",46652,10000,10,100,1.5,3,5,0,0.114,0.105813181820121,0.122186818179879,0.2617,0.25308462140486,0.27031537859514,0.3757,0.367733213710675,0.383666786289325,3757,2617,1140
"BM","Normal2Var",2278158,10000,10,100,2,3,5,0,0.2083,0.197839057471378,0.218760942528622,0.4112,0.401555792963151,0.420844207036849,0.5428,0.534605189171409,0.550994810828591,5428,4112,2083
"BM","Normal2Var",257036918,10000,10,100,2.5,3,5,0,0.3544,0.342078190897045,0.366721809102955,0.5961,0.586482713390649,0.605717286609351,0.7051,0.697598836255022,0.712601163744978,7051,5961,3544
"BM","Normal2Var",150938,10000,10,100,0.5,1,5,0,0.0345,0.0297985529927904,0.0392014470072096,0.1162,0.10991889383551,0.12248110616449,0.1908,0.184336272715809,0.197263727284191,1908,1162,345
"BM","Normal2Var",71507,10000,10,100,1.5,1,5,0,0.3707,0.358258119734936,0.383141880265063,0.6176,0.608074919454493,0.627125080545507,0.7284,0.721083291488135,0.735716708511865,7284,6176,3707
"BM","Normal2Var",193417227,10000,10,100,2,1,5,0,0.6558,0.643561251852189,0.668038748147811,0.8438,0.836684321023992,0.850915678976008,0.9108,0.906111220166781,0.915488779833219,9108,8438,6558
"BM","Normal2Var",29522468,10000,10,100,2.5,1,5,0,0.8665,0.857738655142137,0.875261344857863,0.9587,0.954799929471202,0.962600070528798,0.9802,0.977908310122224,0.982491689877776,9802,9587,8665
"BM","Normal2Var",36270596,10000,10,100,1,1,3,0,0.328,0.315906070932836,0.340093929067164,0.5582,0.548466616318998,0.567933383681002,0.6769,0.669206983952963,0.684593016047037,6769,5582,3280
"BM","Normal2Var",48564047,10000,10,100,1,3,5,0,0.0504,0.0447645126418752,0.0560354873581248,0.1465,0.139569307246747,0.153430692753253,0.2355,0.228520085498419,0.242479914501581,2355,1465,504
"BM","Normal2Var",89146340,10000,10,100,1,1,5,0,0.1405,0.131548270274321,0.149451729725679,0.3239,0.314727937333053,0.333072062666947,0.4444,0.436226011056063,0.452573988943937,4444,3239,1405
"BM","Normal2Var",107931,10000,10,100,5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,9999,9999
"BM","Normal2Var",21291660,10000,10,100,5,3,5,0,0.9468,0.941018629535017,0.952581370464983,0.99,0.988049824623271,0.991950175376729,0.9967,0.995756579951042,0.997643420048958,9967,9900,9468
"BM","Normal2Var",2271584,10000,10,100,5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
