"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","ghEqual",21756296,1000,100,100,1,3,1,1,0,0,0.877,0.850245415478913,0.903754584521087,0.958,0.945567356773397,0.970432643226603,0.977,0.969202110043416,0.984797889956584
"Lepage","ghEqual",772611,1000,100,100,1,3,3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",145903829,1000,100,100,1,3,1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",165779076,1000,100,100,1,3,-1,1,0,0,0.979,0.96731989217584,0.99068010782416,0.996,0.992087847855719,0.999912152144281,0.998,0.995675946235562,1.00032405376444
"Lepage","ghEqual",55784624,1000,100,100,1,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",657092,1000,100,100,1,3,-1,3,0,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"Lepage","ghEqual",59424,1000,100,100,1,3,1,-3,0,0,0.142,0.113566280497691,0.170433719502309,0.306,0.277437480111167,0.334562519888833,0.429,0.403253831780729,0.454746168219271
"Lepage","ghEqual",140807280,1000,100,100,1.5,3,1,1,0,0,0.994,0.987709072559312,1.00029092744069,0.997,0.993610276471451,1.00038972352855,0.999,0.997355822705728,1.00064417729427
"Lepage","ghEqual",43730,1000,100,100,1.5,3,3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",51255714,1000,100,100,1.5,3,1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",28321,1000,100,100,1.5,3,-1,1,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",156279658,1000,100,100,1.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",14664258,1000,100,100,1.5,3,-1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",168195,1000,100,100,1.5,3,1,-3,0,0,0.049,0.0314153326496064,0.0665846673503936,0.143,0.121302259988653,0.164697740011347,0.227,0.205209430645919,0.248790569354081
"Lepage","ghEqual",187952,1000,100,100,2,3,1,1,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",198581053,1000,100,100,2,3,3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",16749457,1000,100,100,2,3,1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",4457253,1000,100,100,2,3,-1,1,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",42887312,1000,100,100,2,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",335068697,1000,100,100,2,3,-1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",68816,1000,100,100,2,3,1,-3,0,0,0.08,0.0579003820485512,0.102099617951449,0.192,0.167587493827958,0.216412506172042,0.295,0.271276898403139,0.318723101596861
"Lepage","ghEqual",1376248,1000,100,100,2.5,3,1,1,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",4646506,1000,100,100,2.5,3,3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",100703249,1000,100,100,2.5,3,1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",83154,1000,100,100,2.5,3,-1,1,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",34172157,1000,100,100,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",8076756,1000,100,100,2.5,3,-1,3,0,0,1,1,1,1,1,1,1,1,1
"Lepage","ghEqual",319451,1000,100,100,2.5,3,1,-3,0,0,0.23,0.19571886919018,0.26428113080982,0.413,0.382482416058934,0.443517583941066,0.518,0.492007126016925,0.543992873983075
