"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Normal2Var",59990698,1000,100,100,2.5,1,5,0,0.986,0.976429197948761,0.995570802051239,0.997,0.993610276471451,1.00038972352855,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",5465100,1000,10,100,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.047,0.0338824885896753,0.0601175114103247,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarUnequal","Normal2Var",61159,1000,10,100,0,3,5,1,0.017,0.00646954641356793,0.0275304535864321,0.064,0.0488300558208015,0.0791699441791986,0.112,0.0955948050179219,0.128405194982078
"Bayes_TTest_VarUnequal","Normal2Var",65011,1000,10,100,0,1,5,1,0.005,-0.000745692786775151,0.0107456927867752,0.047,0.0338824885896753,0.0601175114103247,0.097,0.0816044345418884,0.112395565458112
"Bayes_TTest_VarUnequal","Normal2Var",23823898,1000,10,100,0.5,1,2,0,0.077,0.0552833880152543,0.0987166119847457,0.227,0.20103676842918,0.25296323157082,0.318,0.293774561347625,0.342225438652375
"Bayes_TTest_VarUnequal","Normal2Var",617837,1000,10,100,1.5,1,2,0,0.823,0.791909163316244,0.854090836683756,0.963,0.951300425238497,0.974699574761503,0.988,0.982335846718176,0.993664153281824
"Bayes_TTest_VarUnequal","Normal2Var",3468291,1000,10,100,2,1,2,0,0.975,0.962282019028163,0.987717980971837,0.997,0.993610276471451,1.00038972352855,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",218132,1000,10,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",5291580,1000,10,100,0.5,3,5,0,0.014,0.00442919794876103,0.023570802051239,0.065,0.0497201688491005,0.0802798311508995,0.144,0.125736499086977,0.162263500913023
"Bayes_TTest_VarUnequal","Normal2Var",40346,1000,10,100,1.5,3,5,0,0.087,0.0640416393560864,0.109958360643914,0.256,0.228950295705868,0.283049704294132,0.388,0.362651195838857,0.413348804161143
"Bayes_TTest_VarUnequal","Normal2Var",1356184,1000,10,100,2,3,5,0,0.165,0.134763531317298,0.195236468682702,0.397,0.366674359601156,0.427325640398844,0.534,0.508050470426229,0.559949529573771
"Bayes_TTest_VarUnequal","Normal2Var",456636,1000,10,100,2.5,3,5,0,0.332,0.293637832983837,0.370362167016163,0.62,0.589915436516379,0.650084563483621,0.743,0.720268564062625,0.765731435937375
"Bayes_TTest_VarUnequal","Normal2Var",889030,1000,10,100,0.5,1,5,0,0.043,0.0264752059566238,0.0595247940433761,0.13,0.109155697181244,0.150844302818756,0.22,0.198451127871742,0.241548872128258
"Bayes_TTest_VarUnequal","Normal2Var",1927475,1000,10,100,1.5,1,5,0,0.41,0.369935124929684,0.450064875070316,0.698,0.6695431218578,0.7264568781422,0.8,0.779192212996092,0.820807787003908
"Bayes_TTest_VarUnequal","Normal2Var",259106,1000,10,100,2,1,5,0,0.76,0.725209691832351,0.794790308167649,0.924,0.90757524677811,0.94042475322189,0.964,0.954309288385263,0.973690711614737
"Bayes_TTest_VarUnequal","Normal2Var",22869942,1000,10,100,2.5,1,5,0,0.931,0.910353556856834,0.951646443143166,0.981,0.972538109998351,0.989461890001649,0.994,0.989982695791952,0.998017304208048
