"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","GLDLS",29165392,10000,20,20,0.5,2,-0.002,-0.05,0,0.1754,0.165603243393674,0.185196756606326,0.402,0.392390081823449,0.411609918176551,0.5328,0.52459271664883,0.541007283351171,5328,4020,1754
"HFR","GLDLS",2016990,10000,20,20,0.5,2,-0.002,-0.1,0,0.1605,0.151044299077826,0.169955700922174,0.377,0.367501155682926,0.386498844317074,0.5155,0.507278953062452,0.523721046937548,5155,3770,1605
"HFR","GLDLS",534331,10000,20,20,0.5,2,-0.002,-0.2,0,0.1479,0.138755178593828,0.157044821406172,0.3579,0.348504102822274,0.367295897177726,0.4862,0.477978133334826,0.494421866665174,4862,3579,1479
"HFR","GLDLS",1126676,10000,20,20,1,2,-0.002,-0.002,0,0.778,0.767294372098676,0.788705627901324,0.9279,0.922830393031565,0.932969606968434,0.9648,0.961768511804674,0.967831488195326,9648,9279,7780
"HFR","GLDLS",1137261,10000,20,20,1,2,-0.002,-0.02,0,0.7645,0.753569750908163,0.775430249091837,0.9239,0.918702902274692,0.929097097725308,0.9648,0.961768511804674,0.967831488195326,9648,9239,7645
"HFR","GLDLS",142824,10000,20,20,1,2,-0.002,-0.05,0,0.7534,0.742296620013575,0.764503379986425,0.9164,0.910974974919284,0.921825025080716,0.9598,0.956568759365832,0.963031240634168,9598,9164,7534
"HFR","GLDLS",22853601,10000,20,20,1,2,-0.002,-0.1,0,0.7234,0.711877115764126,0.734922884235874,0.9,0.89412,0.90588,0.9479,0.944244338073895,0.951555661926105,9479,9000,7234
"HFR","GLDLS",378894,10000,20,20,1,2,-0.002,-0.2,0,0.6611,0.648906869507961,0.67329313049204,0.8691,0.862489097233327,0.875710902766673,0.9284,0.924158788021379,0.932641211978621,9284,8691,6611
"HFR","GLDLS",1050845,10000,20,20,1.5,2,-0.002,-0.002,0,0.9884,0.985641701764104,0.991158298235895,0.998,0.997124338330175,0.998875661669825,0.9995,0.999132258787495,0.999867741212506,9995,9980,9884
"HFR","GLDLS",831825,10000,20,20,1.5,2,-0.002,-0.02,0,0.9869,0.983971008704679,0.989828991295321,0.9983,0.997492558498961,0.999107441501039,0.9996,0.999271065806581,0.999928934193419,9996,9983,9869
"HFR","GLDLS",249973587,10000,20,20,1.5,2,-0.002,-0.05,0,0.9802,0.976611311170121,0.983788688829879,0.9969,0.995810410984637,0.997989589015363,0.9995,0.999132258787495,0.999867741212506,9995,9969,9802
"HFR","GLDLS",28065,10000,20,20,1.5,2,-0.002,-0.1,0,0.9756,0.97162555338694,0.97957444661306,0.9959,0.994647563067296,0.997152436932704,0.9987,0.998107272464133,0.999292727535867,9987,9959,9756
"HFR","GLDLS",1990723,10000,20,20,1.5,2,-0.002,-0.2,0,0.9556,0.950293900198596,0.960906099801404,0.9923,0.990586741364067,0.994013258635933,0.9966,0.995642440427388,0.997557559572612,9966,9923,9556
"HFR","GLDLS",74412,10000,20,20,2,2,-0.002,-0.002,0,0.9981,0.996978214849062,0.999221785150938,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9981
"HFR","GLDLS",104610359,10000,20,20,2,2,-0.002,-0.02,0,0.9986,0.997636823989136,0.999563176010864,1,1,1,1,1,1,10000,10000,9986
"HFR","GLDLS",128728900,10000,20,20,2,2,-0.002,-0.05,0,0.9976,0.996339538166772,0.998860461833228,1,1,1,1,1,1,10000,10000,9976
"HFR","GLDLS",7596192,10000,20,20,2,2,-0.002,-0.1,0,0.9969,0.995467968722666,0.998332031277334,0.9997,0.99936056896783,1.00003943103217,0.9999,0.999735508225206,1.00006449177479,9999,9997,9969
"HFR","GLDLS",2306680,10000,20,20,2,2,-0.002,-0.2,0,0.9933,0.99119852862938,0.99540147137062,0.9993,0.998781614273345,0.999818385726655,1,1,1,10000,9993,9933
"HFR","GLDLS",82219,10000,20,20,2.5,2,-0.002,-0.002,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"HFR","GLDLS",714684,10000,20,20,2.5,2,-0.002,-0.02,0,0.9994,0.998769200767229,1.00003079923277,1,1,1,1,1,1,10000,10000,9994
"HFR","GLDLS",324458,10000,20,20,2.5,2,-0.002,-0.05,0,0.9993,0.998618693044967,0.999981306955033,1,1,1,1,1,1,10000,10000,9993
"HFR","GLDLS",96599,10000,20,20,2.5,2,-0.002,-0.1,0,0.9985,0.997503068031208,0.999496931968792,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9985
"HFR","GLDLS",669416,10000,20,20,2.5,2,-0.002,-0.2,0,0.9978,0.996593078708276,0.999006921291724,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9978
"HFR","GLDLS",98826,10000,100,100,0,2,-0.002,-0.002,1,0.0085,0.00613516044552701,0.010864839554473,0.0508,0.0464960542129808,0.0551039457870192,0.1014,0.0964344416810292,0.106365558318971,1014,508,85
"HFR","GLDLS",19912,10000,100,100,0,2,-0.02,-0.02,1,0.01,0.00743691236201335,0.0125630876379867,0.0474,0.043235138816431,0.051564861183569,0.0933,0.0885154782627963,0.0980845217372037,933,474,100
"HFR","GLDLS",63769400,10000,100,100,0,2,-0.05,-0.05,1,0.0104,0.00778668132697445,0.0130133186730255,0.0528,0.0484167738610015,0.0571832261389985,0.1057,0.100642393795008,0.110757606204992,1057,528,104
"HFR","GLDLS",173999426,10000,100,100,0,2,-0.1,-0.1,1,0.0086,0.00622141025800917,0.0109785897419908,0.0495,0.0452485729501731,0.0537514270498269,0.0991,0.0941848019356312,0.104015198064369,991,495,86
"HFR","GLDLS",19609,10000,100,100,0,2,-0.2,-0.2,1,0.0104,0.00778668132697445,0.0130133186730255,0.0503,0.0460161595938224,0.0545838404061776,0.1018,0.09682576479769,0.10677423520231,1018,503,104
"HFR","GLDLS",1695077,10000,100,100,0.5,2,-0.002,-0.002,0,0.9238,0.916965412258208,0.930634587741792,0.9807,0.978003485167554,0.983396514832446,0.9916,0.990098678153226,0.993101321846774,9916,9807,9238
"HFR","GLDLS",25884692,10000,100,100,0.5,2,-0.002,-0.02,0,0.9182,0.911140220208833,0.925259779791167,0.9794,0.976615996791956,0.982184003208044,0.9911,0.989555031448225,0.992644968551775,9911,9794,9182
"HFR","GLDLS",557216,10000,100,100,0.5,2,-0.002,-0.05,0,0.9074,0.899932921113406,0.914867078886594,0.9752,0.972151903178441,0.978248096821559,0.9883,0.986531100208102,0.990068899791897,9883,9752,9074
"HFR","GLDLS",322333250,10000,100,100,0.5,2,-0.002,-0.1,0,0.8901,0.882043171756117,0.898156828243883,0.9685,0.965076572296659,0.971923427703341,0.9847,0.982680873230633,0.986719126769367,9847,9685,8901
"HFR","GLDLS",73075,10000,100,100,0.5,2,-0.002,-0.2,0,0.8427,0.833321212046021,0.852078787953979,0.9507,0.946456724029526,0.954943275970474,0.9774,0.974955127085696,0.979844872914305,9774,9507,8427
"HFR","GLDLS",1380585,10000,100,100,1,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",36359577,10000,100,100,1,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",2384223,10000,100,100,1,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",41186267,10000,100,100,1,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",478198,10000,100,100,1,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",19194241,10000,100,100,1.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",63607139,10000,100,100,1.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",186211804,10000,100,100,1.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",798184,10000,100,100,1.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",397733,10000,100,100,1.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",131883609,10000,100,100,2,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",197034,10000,100,100,2,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",1023539,10000,100,100,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",32126,10000,100,100,2,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",1707059,10000,100,100,2,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",193026,10000,100,100,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",253212460,10000,100,100,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",359066,10000,100,100,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",203828,10000,100,100,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",476889,10000,100,100,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",6297028,10000,10,100,0,2,-0.002,-0.002,1,0.0078,0.0055338285107221,0.0100661714892779,0.0499,0.0456323282977249,0.0541676717022751,0.0992,0.0942825955815695,0.104117404418431,992,499,78
"HFR","GLDLS",323575219,10000,10,100,0,2,-0.02,-0.02,1,0.0088,0.00639415390545114,0.0112058460945489,0.0494,0.0451526460822766,0.0536473539177234,0.0965,0.0916427144288837,0.101357285571116,965,494,88
"HFR","GLDLS",73872118,10000,10,100,0,2,-0.05,-0.05,1,0.0105,0.00787428002833509,0.0131257199716649,0.0507,0.0464000659817155,0.0549999340182845,0.1032,0.0981955823085598,0.10820441769144,1032,507,105
"HFR","GLDLS",28174,10000,10,100,0,2,-0.1,-0.1,1,0.0082,0.00587691641085044,0.0105230835891496,0.0516,0.0472641255841065,0.0559358744158935,0.0967,0.0918382217719465,0.101561778228053,967,516,82
"HFR","GLDLS",11717365,10000,10,100,0,2,-0.2,-0.2,1,0.0095,0.00700118041435561,0.0119988195856444,0.0508,0.0464960542129808,0.0551039457870192,0.0994,0.09447818749005,0.10432181250995,994,508,95
"HFR","GLDLS",48705,10000,10,100,0.5,2,-0.002,-0.002,0,0.1743,0.164527499652649,0.184072500347351,0.3995,0.389900005835418,0.409099994164582,0.5331,0.52489304257383,0.541306957426171,5331,3995,1743
"HFR","GLDLS",204060998,10000,10,100,0.5,2,-0.002,-0.02,0,0.168,0.158369204466006,0.177630795533994,0.3851,0.375562268831719,0.394637731168281,0.5172,0.508979868008578,0.525420131991422,5172,3851,1680
"HFR","GLDLS",362163,10000,10,100,0.5,2,-0.002,-0.05,0,0.1717,0.161985401928647,0.181414598071353,0.3849,0.375363195268938,0.394436804731062,0.511,0.502776990690903,0.519223009309097,5110,3849,1717
"HFR","GLDLS",6293184,10000,10,100,0.5,2,-0.002,-0.1,0,0.1613,0.151825280447831,0.170774719552169,0.3684,0.358945535340888,0.377854464659112,0.494,0.485775592221321,0.502224407778679,4940,3684,1613
"HFR","GLDLS",92154,10000,10,100,0.5,2,-0.002,-0.2,0,0.1449,0.135832480365909,0.153967519634091,0.3424,0.333099552369998,0.351700447630001,0.4649,0.456695291594823,0.473104708405177,4649,3424,1449
"HFR","GLDLS",11388302,10000,10,100,1,2,-0.002,-0.002,0,0.744,0.732757774063541,0.755242225936459,0.9136,0.908093305440975,0.919106694559025,0.956,0.952626185606765,0.959373814393235,9560,9136,7440
"HFR","GLDLS",120513,10000,10,100,1,2,-0.002,-0.02,0,0.7375,0.726165782956022,0.748834217043978,0.9073,0.901615773252799,0.912984226747201,0.95,0.946414805618938,0.953585194381062,9500,9073,7375
"HFR","GLDLS",212362885,10000,10,100,1,2,-0.002,-0.05,0,0.7041,0.692341944293526,0.715858055706474,0.8895,0.883355165554712,0.895644834445288,0.9406,0.936711683466704,0.944488316533296,9406,8895,7041
"HFR","GLDLS",2746156,10000,10,100,1,2,-0.002,-0.1,0,0.676,0.66394432,0.68805568,0.873,0.866473729751228,0.879526270248772,0.9274,0.923131573982473,0.931668426017527,9274,8730,6760
"HFR","GLDLS",290210,10000,10,100,1,2,-0.002,-0.2,0,0.633,0.620584027390752,0.645415972609248,0.8351,0.827826630668088,0.842373369331912,0.8996,0.894656238830243,0.904543761169757,8996,8351,6330
"HFR","GLDLS",71464814,10000,10,100,1.5,2,-0.002,-0.002,0,0.9824,0.979012756878725,0.985787243121275,0.9967,0.995575925048051,0.997824074951949,0.9994,0.998997179837769,0.999802820162231,9994,9967,9824
"HFR","GLDLS",5506017,10000,10,100,1.5,2,-0.002,-0.02,0,0.9769,0.973030303511015,0.980769696488985,0.9964,0.995226118708557,0.997573881291443,0.9985,0.99786337224819,0.99913662775181,9985,9964,9769
"HFR","GLDLS",297779483,10000,10,100,1.5,2,-0.002,-0.05,0,0.9727,0.968502249324877,0.976897750675123,0.9954,0.99407372432187,0.99672627567813,0.9983,0.997622325883057,0.998977674116943,9983,9954,9727
"HFR","GLDLS",110061,10000,10,100,1.5,2,-0.002,-0.1,0,0.9568,0.951562810175316,0.962037189824684,0.9902,0.988269229875516,0.992130770124484,0.9962,0.995187882417947,0.997212117582053,9962,9902,9568
"HFR","GLDLS",71432,10000,10,100,1.5,2,-0.002,-0.2,0,0.9231,0.916236693340025,0.929963306659976,0.9789,0.976083132213539,0.981716867786461,0.99,0.98836324566596,0.99163675433404,9900,9789,9231
"HFR","GLDLS",2598057,10000,10,100,2,2,-0.002,-0.002,0,0.9994,0.998769200767229,1.00003079923277,1,1,1,1,1,1,10000,10000,9994
"HFR","GLDLS",352257851,10000,10,100,2,2,-0.002,-0.02,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"HFR","GLDLS",10625113,10000,10,100,2,2,-0.002,-0.05,0,0.9986,0.997636823989136,0.999563176010864,1,1,1,1,1,1,10000,10000,9986
"HFR","GLDLS",50246,10000,10,100,2,2,-0.002,-0.1,0,0.998,0.996849130376802,0.999150869623198,0.9996,0.999208078407842,0.999991921592158,1,1,1,10000,9996,9980
"HFR","GLDLS",25597,10000,10,100,2,2,-0.002,-0.2,0,0.989,0.986313169020872,0.991686830979128,0.9982,0.997369191164226,0.999030808835774,0.9994,0.998997179837769,0.999802820162231,9994,9982,9890
"HFR","GLDLS",137152594,10000,10,100,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",20737,10000,10,100,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",3885704,10000,10,100,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"HFR","GLDLS",862563,10000,10,100,2.5,2,-0.002,-0.1,0,0.9995,0.998924132909779,1.00007586709022,0.9997,0.99936056896783,1.00003943103217,1,1,1,10000,9997,9995
"HFR","GLDLS",454517,10000,10,100,2.5,2,-0.002,-0.2,0,0.9981,0.996978214849062,0.999221785150938,0.9997,0.99936056896783,1.00003943103217,1,1,1,10000,9997,9981
