"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Exp",219615959,10000,20,20,0.5,1,0,0.4963,0.483420352659228,0.509179647340772,0.7418,0.733222166644099,0.750377833355901,0.8414,0.835390771094466,0.847409228905534,8414,7418,4963
"BWS","Exp",260488569,10000,20,20,0.5,0.5,0,0.1177,0.109398774151386,0.126001225848614,0.2897,0.280808987388064,0.298591012611936,0.4175,0.409387735412699,0.425612264587301,4175,2897,1177
"BWS","Exp",53407282,10000,20,20,0.5,0.25,0,0.0306,0.0261633202686622,0.0350366797313378,0.113,0.106794781151321,0.119205218848679,0.1914,0.184928518149674,0.197871481850326,1914,1130,306
"BWS","Exp",24624,10000,20,20,0.5,0.125,0,0.0177,0.0143033205488748,0.0210966794511252,0.0706,0.065579352206896,0.075620647793104,0.1287,0.12319142796845,0.13420857203155,1287,706,177
"BWS","Exp",2822612,10000,20,20,1,1,0,0.962,0.957074785005139,0.966925214994861,0.9935,0.991924941512197,0.995075058487803,0.9976,0.996795085514107,0.998404914485893,9976,9935,9620
"BWS","Exp",206742,10000,20,20,1,0.5,0,0.4976,0.484720148378455,0.510479851621545,0.7513,0.742827713014209,0.759772286985791,0.8474,0.841484555297604,0.853315444702396,8474,7513,4976
"BWS","Exp",115843,10000,20,20,1,0.25,0,0.1181,0.109786565511748,0.126413434488252,0.2899,0.281007171122843,0.298792828877157,0.4154,0.40729359021446,0.42350640978554,4154,2899,1181
"BWS","Exp",241252,10000,20,20,1,0.125,0,0.0306,0.0261633202686622,0.0350366797313378,0.11,0.103867360763912,0.116132639236088,0.187,0.180585955357382,0.193414044642618,1870,1100,306
"BWS","Exp",82211527,10000,20,20,1.5,1,0,0.9994,0.998769200767229,1.00003079923277,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9994
"BWS","Exp",302212,10000,20,20,1.5,0.5,0,0.84,0.830556228007835,0.849443771992165,0.9561,0.952084496668361,0.960115503331638,0.9816,0.979389237503123,0.983810762496877,9816,9561,8400
"BWS","Exp",246826,10000,20,20,1.5,0.25,0,0.2868,0.275149592946554,0.298450407053446,0.5454,0.535640482349296,0.555159517650704,0.6713,0.663572765751786,0.679027234248214,6713,5454,2868
"BWS","Exp",136705,10000,20,20,1.5,0.125,0,0.0641,0.0577905776903631,0.0704094223096369,0.189,0.181326431036343,0.196673568963657,0.2954,0.287895142209802,0.302904857790198,2954,1890,641
"BWS","Exp",138986,10000,20,20,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",9482954,10000,20,20,2,0.5,0,0.9665,0.961864792384542,0.971135207615458,0.9949,0.993503853876415,0.996296146123585,0.9985,0.99786337224819,0.99913662775181,9985,9949,9665
"BWS","Exp",191064,10000,20,20,2,0.25,0,0.4991,0.486220020865617,0.511979979134383,0.7447,0.736153817639109,0.753246182360891,0.8494,0.843516516815432,0.855283483184568,8494,7447,4991
"BWS","Exp",271613,10000,20,20,2,0.125,0,0.1138,0.105619443234971,0.121980556765029,0.2931,0.284178395405399,0.302021604594601,0.4169,0.408789392768111,0.425010607231889,4169,2931,1138
"BWS","Exp",143769644,10000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",23841,10000,20,20,2.5,0.5,0,0.9923,0.990048288649916,0.994551711350084,0.9994,0.998920044062022,0.999879955937978,0.9998,0.999567385133966,1.00003261486603,9998,9994,9923
"BWS","Exp",32237,10000,20,20,2.5,0.25,0,0.6896,0.677681946204905,0.701518053795095,0.8796,0.873221597443372,0.885978402556628,0.9427,0.938876774036527,0.946523225963473,9427,8796,6896
"BWS","Exp",2306518,10000,20,20,2.5,0.125,0,0.1873,0.177249680290812,0.197350319709188,0.405,0.395378515914891,0.414621484085109,0.545,0.536808378979866,0.553191621020134,5450,4050,1873
"BWS","Exp",17041829,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",131240,10000,20,20,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",1280953,10000,20,20,5,0.25,0,0.9946,0.992712152252648,0.996487847747353,0.9994,0.998920044062022,0.999879955937978,0.9999,0.999735508225206,1.00006449177479,9999,9994,9946
"BWS","Exp",104679236,10000,20,20,5,0.12,0,0.6517,0.639427120888531,0.663972879111469,0.8597,0.852892958940509,0.866507041059491,0.9234,0.919025028560653,0.927774971439347,9234,8597,6517
"BWS","Exp",8139182,10000,20,20,0,1.5,1,0.0154,0.012227978408588,0.018572021591412,0.0568,0.0522633827975462,0.0613366172024538,0.1049,0.0998593165509055,0.109940683449094,1049,568,154
"BWS","Exp",4726923,10000,20,20,0.5,1.5,0,0.8344,0.824824462252841,0.843975537747159,0.9521,0.947914328792846,0.956285671207154,0.9802,0.977908310122224,0.982491689877776,9802,9521,8344
"BWS","Exp",9412072,10000,20,20,1,1.5,0,0.9995,0.998924132909779,1.00007586709022,1,1,1,1,1,1,10000,10000,9995
"BWS","Exp",2082375,10000,20,20,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",203453,10000,20,20,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",18297867,10000,20,20,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",56017,10000,20,20,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",4764409,10000,100,100,0,1,1,0.0124,0.00954932805320851,0.0152506719467915,0.0539,0.0494739228964692,0.0583260771035308,0.1074,0.102306732521544,0.112493267478456,1074,539,124
"BWS","Exp",376170,10000,100,100,0,0.5,1,0.0093,0.00682737409756834,0.0117726259024317,0.053,0.0486089437990388,0.0573910562009612,0.106,0.100936071158675,0.111063928841325,1060,530,93
"BWS","Exp",784564,10000,100,100,0,0.25,1,0.0109,0.00822527455888572,0.0135747254411143,0.0535,0.0490894447016277,0.0579105552983723,0.1021,0.0971192727596289,0.107080727240371,1021,535,109
"BWS","Exp",129604140,10000,100,100,0,0.125,1,0.0128,0.00990430099526626,0.0156956990047337,0.0526,0.0482246214474174,0.0569753785525826,0.1077,0.102600481162132,0.112799518837868,1077,526,128
"BWS","Exp",2724207,10000,100,100,0.5,1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"BWS","Exp",56479,10000,100,100,0.5,0.5,0,0.9324,0.925932739731028,0.938867260268972,0.9902,0.988269229875516,0.992130770124484,0.9976,0.996795085514107,0.998404914485893,9976,9902,9324
