"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"KS","ghEqual",135569,1000,10,10,1.5,3,1,1,0,0,0.025,0.0122820190281633,0.0377179809718367,0.103,0.0841604335081722,0.121839566491828,0.251,0.228444956351738,0.273555043648262
"KS","ghEqual",12063438,1000,10,10,1.5,3,3,3,0,0,0.094,0.0702275531914782,0.117772446808522,0.267,0.239580237462735,0.294419762537265,0.519,0.493009052057014,0.544990947942986
"KS","ghEqual",229416553,1000,10,10,1.5,3,1,3,0,0,0.141,0.112650069606011,0.169349930393989,0.307,0.278411466606347,0.335588533393653,0.562,0.536191003702197,0.587808996297803
"KS","ghEqual",313715,1000,10,10,1.5,3,-1,1,0,0,0.044,0.0272928972690056,0.0607071027309944,0.169,0.14577263548312,0.19222736451688,0.404,0.378474179276662,0.429525820723338
"KS","ghEqual",194927821,1000,10,10,1.5,3,-3,3,0,0,0.331,0.292666990704303,0.369333009295697,0.637,0.607195688070348,0.666804311929652,0.851,0.832476467292252,0.869523532707748
"KS","ghEqual",37795,1000,10,10,1.5,3,-1,3,0,0,0.165,0.134763531317298,0.195236468682702,0.374,0.344009822301293,0.403990177698707,0.654,0.629254694160306,0.678745305839694
"KS","ghEqual",185750132,1000,10,10,1.5,3,1,-3,0,0,0.003,-0.00145506520895037,0.00745506520895037,0.026,0.0161367004303834,0.0358632995696166,0.129,0.111563077594512,0.146436922405488
"KS","ghEqual",15052737,1000,10,10,2,3,1,1,0,0,0.07,0.0492156545063358,0.0907843454936642,0.187,0.162833033090601,0.211166966909399,0.4,0.374515769581955,0.425484230418045
"KS","ghEqual",1437951,1000,10,10,2,3,3,3,0,0,0.173,0.142187874008826,0.203812125991174,0.37,0.340075478951201,0.399924521048799,0.605,0.579570247260836,0.630429752739164
"KS","ghEqual",31195,1000,10,10,2,3,1,3,0,0,0.201,0.168354954589953,0.233645045410047,0.429,0.398323714462145,0.459676285537855,0.678,0.653694269114055,0.702305730885946
"KS","ghEqual",220544021,1000,10,10,2,3,-1,1,0,0,0.102,0.0773461861267673,0.126653813873233,0.308,0.279385611004252,0.336614388995748,0.575,0.54928454045958,0.60071545954042
"KS","ghEqual",566708,1000,10,10,2,3,-3,3,0,0,0.979,0.96731989217584,0.99068010782416,0.997,0.993610276471451,1.00038972352855,1,1,1
"KS","ghEqual",580870,1000,10,10,2,3,-1,3,0,0,0.31,0.272325174368021,0.347674825631979,0.6,0.569635810565734,0.630364189434266,0.833,0.81359799382087,0.85240200617913
"KS","ghEqual",62766616,1000,10,10,2,3,1,-3,0,0,0.016,0.00577876439250127,0.0262212356074987,0.057,0.0426302455970883,0.0713697544029117,0.162,0.142833385017171,0.181166614982829
"KS","ghEqual",160876,1000,10,10,2.5,3,1,1,0,0,0.126,0.0989674604185252,0.153032539581475,0.323,0.294016444082894,0.351983555917106,0.569,0.543239121424629,0.594760878575371
"KS","ghEqual",59358445,1000,10,10,2.5,3,3,3,0,0,0.242,0.207111030305611,0.276888969694389,0.489,0.458017179495727,0.519982820504273,0.728,0.704851863003689,0.751148136996311
"KS","ghEqual",40948124,1000,10,10,2.5,3,1,3,0,0,0.293,0.255924298601699,0.330075701398301,0.57,0.539314886997112,0.600685113002888,0.793,0.771924025294782,0.814075974705218
"KS","ghEqual",1156961,1000,10,10,2.5,3,-1,1,0,0,0.209,0.175878709980679,0.242121290019321,0.486,0.455021829518191,0.516978170481809,0.766,0.743976404809841,0.788023595190159
"KS","ghEqual",49708,1000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
"KS","ghEqual",47166,1000,10,10,2.5,3,-1,3,0,0,0.595,0.555011800220565,0.634988199779435,0.841,0.81833516136391,0.86366483863609,0.944,0.932039594254374,0.955960405745626
"KS","ghEqual",12362615,1000,10,10,2.5,3,1,-3,0,0,0.017,0.00646954641356793,0.0275304535864321,0.066,0.0506113161576436,0.0813886838423564,0.187,0.166717009915326,0.207282990084674
"KS","ghEqual",171793,1000,20,20,0,1,1,1,0,1,0.007,0.000208440607931048,0.013791559392069,0.035,0.0236092124943005,0.0463907875056995,0.093,0.0778918593210481,0.108108140678952
"KS","ghEqual",76056,1000,20,20,0,1,3,3,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.038,0.0261495346251719,0.0498504653748281,0.088,0.0732631501873704,0.10273684981263
