"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Normal2Var",2398860,10000,20,20,0.5,1,3,0,0.0325,0.0279321374626637,0.0370678625373363,0.1167,0.110407175577088,0.122992824422912,0.1902,0.183744051685778,0.196655948314222,1902,1167,325
"HFR","Normal2Var",33254588,10000,20,20,1.5,1,3,0,0.2254,0.214636300594146,0.236163699405854,0.4419,0.432166386813603,0.451633613186397,0.5644,0.556243509393397,0.572556490606603,5644,4419,2254
"HFR","Normal2Var",4367621,10000,20,20,2,1,3,0,0.3898,0.377236724667409,0.402363275332591,0.6245,0.615008665849313,0.633991334150687,0.7255,0.718158990517349,0.732841009482651,7255,6245,3898
"HFR","Normal2Var",814108,10000,20,20,2.5,1,3,0,0.5565,0.543702496555718,0.569297503444282,0.7582,0.749807794504327,0.766592205495673,0.8295,0.823313624330484,0.835686375669516,8295,7582,5565
"HFR","Normal2Var",19702428,10000,20,20,0.5,3,5,0,0.0149,0.0117791050358873,0.0180208949641127,0.0659,0.0610370985913346,0.0707629014086654,0.1301,0.124565999220367,0.135634000779633,1301,659,149
"HFR","Normal2Var",3330544,10000,20,20,1.5,3,5,0,0.0642,0.0578859954117267,0.0705140045882733,0.1905,0.182803168342753,0.198196831657247,0.2948,0.287299576364738,0.302300423635262,2948,1905,642
"HFR","Normal2Var",41452,10000,20,20,2,3,5,0,0.1218,0.113375071589303,0.130224928410697,0.3066,0.297562796428629,0.315637203571371,0.4349,0.426745013249614,0.443054986750386,4349,3066,1218
"HFR","Normal2Var",772790,10000,20,20,2.5,3,5,0,0.2071,0.196661331232902,0.217538668767098,0.4303,0.420595685694208,0.440004314305792,0.5634,0.555241389700746,0.571558610299254,5634,4303,2071
"HFR","Normal2Var",100418067,10000,20,20,0.5,1,5,0,0.0253,0.0212547850620745,0.0293452149379255,0.0921,0.0864323255761821,0.0977676744238179,0.1587,0.152689234152641,0.164710765847359,1587,921,253
"HFR","Normal2Var",101130971,10000,20,20,1.5,1,5,0,0.0879,0.0806060711248612,0.0951939288751388,0.2211,0.212966241107188,0.229233758892812,0.3186,0.310935393685316,0.326264606314684,3186,2211,879
"HFR","Normal2Var",223933642,10000,20,20,2,1,5,0,0.1404,0.131450935958639,0.149349064041361,0.3175,0.308376126316087,0.326623873683913,0.4386,0.430437251418848,0.446762748581152,4386,3175,1404
"HFR","Normal2Var",22767069,10000,20,20,2.5,1,5,0,0.212,0.201471247958775,0.222528752041225,0.4182,0.408532037792709,0.427867962207291,0.535,0.526795175995946,0.543204824004054,5350,4182,2120
