"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Normal2Var",1569618,10000,100,100,5,3,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",77242,10000,100,100,5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",108220594,10000,10,100,0.5,1,3,0,0.0425,0.0373035145569337,0.0476964854430663,0.2546,0.24606153180164,0.26313846819836,0.5161,0.507879265110346,0.524320734889654,5161,2546,425
"KS","Normal2Var",318650612,10000,10,100,1.5,1,3,0,0.4916,0.47872181775387,0.50447818224613,0.8356,0.828335492213343,0.842864507786657,0.9478,0.944141024462517,0.951458975537483,9478,8356,4916
"KS","Normal2Var",29418274,10000,10,100,2,1,3,0,0.7887,0.778183976992025,0.799216023007975,0.9652,0.961607850939396,0.968792149060604,0.9935,0.992178075912023,0.994821924087978,9935,9652,7887
"KS","Normal2Var",162399201,10000,10,100,2.5,1,3,0,0.9493,0.943648658147398,0.954951341852602,0.9969,0.995810410984637,0.997989589015363,0.9998,0.999567385133966,1.00003261486603,9998,9969,9493
"KS","Normal2Var",40412,10000,10,100,0.5,3,5,0,0.0083,0.00596291202152422,0.0106370879784758,0.0545,0.0500507676212632,0.0589492323787368,0.1353,0.129673380719226,0.140926619280774,1353,545,83
"KS","Normal2Var",354708,10000,10,100,1.5,3,5,0,0.0403,0.0352339889917593,0.0453660110082407,0.1657,0.158412502020474,0.172987497979526,0.3161,0.308451532034062,0.323748467965938,3161,1657,403
"KS","Normal2Var",898186,10000,10,100,2,3,5,0,0.0914,0.083976557947104,0.0988234420528959,0.2867,0.277836484064571,0.295563515935429,0.4654,0.457194716914627,0.473605283085372,4654,2867,914
"KS","Normal2Var",8694525,10000,10,100,2.5,3,5,0,0.1569,0.147530921556606,0.166269078443394,0.4087,0.399064764593971,0.418335235406029,0.5969,0.588830937287394,0.604969062712606,5969,4087,1569
"KS","Normal2Var",6413358,10000,10,100,0.5,1,5,0,0.0789,0.0719555516613122,0.0858444483386878,0.4893,0.479502244260975,0.499097755739025,0.8411,0.835086162797267,0.847113837202733,8411,4893,789
"KS","Normal2Var",2528089,10000,10,100,1.5,1,5,0,0.4148,0.402108370330864,0.427491629669136,0.8515,0.844530339488899,0.858469660511101,0.9697,0.966880280457071,0.972519719542929,9697,8515,4148
"KS","Normal2Var",20231,10000,10,100,2,1,5,0,0.6515,0.639225481637539,0.663774518362461,0.9469,0.942505035310449,0.951294964689551,0.9926,0.991190163021091,0.994009836978909,9926,9469,6515
"KS","Normal2Var",45159907,10000,10,100,2.5,1,5,0,0.8381,0.828611070862101,0.847588929137899,0.9864,0.98412986305118,0.988670136948821,0.998,0.997265069669969,0.998734930330031,9980,9864,8381
"KS","Normal2Var",344754899,10000,10,100,1,1,3,0,0.1939,0.183715745964406,0.204084254035594,0.5573,0.5475645651708,0.5670354348292,0.7831,0.776320396577234,0.789879603422766,7831,5573,1939
"KS","Normal2Var",254623,10000,10,100,1,3,5,0,0.0171,0.013760368248746,0.020439631751254,0.0971,0.0912965598121114,0.102903440187889,0.2104,0.203695099461319,0.217104900538681,2104,971,171
"KS","Normal2Var",26862,10000,10,100,1,1,5,0,0.1973,0.187048532651015,0.207551467348985,0.6612,0.651923285421573,0.670476714578427,0.9043,0.899460749132379,0.909139250867621,9043,6612,1973
"KS","Normal2Var",16399675,10000,10,100,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal2Var",518010,10000,10,100,5,3,5,0,0.7996,0.78928828004397,0.80991171995603,0.9521,0.947914328792846,0.956285671207154,0.9866,0.984708576167249,0.988491423832751,9866,9521,7996
"KS","Normal2Var",64118,10000,10,100,5,1,5,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
