"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Normal2Var",19585311,1000,10,100,2,1,2,0,0.9,0.875561918242219,0.924438081757781,0.991,0.985146519804424,0.996853480195576,0.999,0.997355822705728,1.00064417729427
"Yuen","Normal2Var",139735,1000,10,100,2.5,1,2,0,0.988,0.979130176988462,0.996869823011537,1,1,1,1,1,1
"Yuen","Normal2Var",131130948,1000,10,100,0.5,3,5,0,0.022,0.0100511357687854,0.0339488642312146,0.075,0.0586748353760215,0.0913251646239785,0.124,0.106855343118044,0.141144656881956
"Yuen","Normal2Var",38418976,1000,10,100,1.5,3,5,0,0.09,0.0666875558038201,0.11331244419618,0.224,0.198158903305007,0.249841096694993,0.337,0.312411184010307,0.361588815989693
"Yuen","Normal2Var",206496966,1000,10,100,2,3,5,0,0.153,0.123675320161748,0.182324679838252,0.333,0.303789357802335,0.362210642197665,0.476,0.450020246737122,0.501979753262878
"Yuen","Normal2Var",12471761,1000,10,100,2.5,3,5,0,0.273,0.236709380020507,0.309290619979493,0.51,0.479015877614494,0.540984122385506,0.66,0.635357921962627,0.684642078037373
"Yuen","Normal2Var",62763031,1000,10,100,0.5,1,5,0,0.024,0.0115325857923946,0.0364674142076054,0.109,0.0896844013709127,0.128315598629087,0.186,0.16575887826478,0.20624112173522
"Yuen","Normal2Var",5555206,1000,10,100,1.5,1,5,0,0.406,0.36599612164722,0.44600387835278,0.64,0.610249291773136,0.669750708226864,0.756,0.733658017196319,0.778341982803681
"Yuen","Normal2Var",220905,1000,10,100,2,1,5,0,0.695,0.657495085420708,0.732504914579292,0.871,0.850224092453036,0.891775907546964,0.932,0.918904312144832,0.945095687855168
"Yuen","Normal2Var",157011,1000,10,100,2.5,1,5,0,0.89,0.864511915128829,0.915488084871171,0.974,0.964136700430383,0.983863299569617,0.991,0.986087257692999,0.995912742307001
