"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Exp",70191464,10000,20,20,0.5,0.125,0,0.0084,0.00604899387398841,0.0107510061260116,0.0469,0.042756076518274,0.051043923481726,0.0996,0.0946737855402348,0.104526214459765,996,469,84
"Yuen","Exp",251061,10000,20,20,1,1,0,0.7398,0.728497964468889,0.751102035531111,0.9001,0.894222614241144,0.905977385758856,0.9464,0.942695021748836,0.950104978251164,9464,9001,7398
"Yuen","Exp",61425,10000,20,20,1,0.5,0,0.1822,0.172256401088881,0.192143598911119,0.4092,0.399562949668202,0.418837050331798,0.5371,0.528897673195186,0.545302326804814,5371,4092,1822
"Yuen","Exp",549914,10000,20,20,1,0.25,0,0.0342,0.0295183115208361,0.0388816884791639,0.1299,0.123310609715732,0.136489390284268,0.2156,0.208835135952911,0.222364864047089,2156,1299,342
"Yuen","Exp",271477,10000,20,20,1,0.125,0,0.0135,0.0105272301497761,0.0164727698502239,0.0647,0.0598784832608815,0.0695215167391185,0.1264,0.120933671187936,0.131866328812064,1264,647,135
"Yuen","Exp",962113,10000,20,20,1.5,1,0,0.9644,0.959626911811745,0.969173088188256,0.9939,0.992373867172753,0.995426132827247,0.9977,0.996911993488114,0.998488006511886,9977,9939,9644
"Yuen","Exp",34474878,10000,20,20,1.5,0.5,0,0.4528,0.439977517585131,0.465622482414869,0.7097,0.700803544886552,0.718596455113448,0.8094,0.802938862989914,0.815861137010086,8094,7097,4528
"Yuen","Exp",60915,10000,20,20,1.5,0.25,0,0.0908,0.0833985212520783,0.0982014787479217,0.2546,0.24606153180164,0.26313846819836,0.3784,0.370421946045708,0.386378053954292,3784,2546,908
"Yuen","Exp",12452079,10000,20,20,1.5,0.125,0,0.0218,0.0180382672793809,0.0255617327206191,0.0949,0.0891556954121147,0.100644304587885,0.1653,0.159189629619591,0.171410370380409,1653,949,218
"Yuen","Exp",119881329,10000,20,20,2,1,0,0.9981,0.996978214849062,0.999221785150938,1,1,1,1,1,1,10000,10000,9981
"Yuen","Exp",215878146,10000,20,20,2,0.5,0,0.7303,0.718867611293819,0.741732388706181,0.9003,0.894427848177576,0.906172151822424,0.9471,0.943417933255904,0.950782066744096,9471,9003,7303
"Yuen","Exp",180921,10000,20,20,2,0.25,0,0.185,0.17499745469193,0.19500254530807,0.4015,0.391892045814014,0.411107954185986,0.5362,0.527996585061092,0.544403414938908,5362,4015,1850
"Yuen","Exp",48041925,10000,20,20,2,0.125,0,0.0334,0.0287714763463342,0.0380285236536658,0.1269,0.120375926028746,0.133424073971254,0.2205,0.213680096038112,0.227319903961888,2205,1269,334
"Yuen","Exp",7018862,10000,20,20,2.5,1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"Yuen","Exp",57387339,10000,20,20,2.5,0.5,0,0.9033,0.895686662179048,0.910913337820952,0.9743,0.971198520004643,0.977401479995357,0.9884,0.98663858672436,0.99016141327564,9884,9743,9033
"Yuen","Exp",52968,10000,20,20,2.5,0.25,0,0.3152,0.30323202043621,0.32716797956379,0.5734,0.563706171295592,0.583093828704408,0.6912,0.683600125636407,0.698799874363593,6912,5734,3152
"Yuen","Exp",123431704,10000,20,20,2.5,0.125,0,0.0579,0.0518836423927775,0.0639163576072225,0.1872,0.179554588930241,0.194845411069759,0.295,0.287498096579034,0.302501903420966,2950,1872,579
"Yuen","Exp",254661,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Exp",20921,10000,20,20,5,0.5,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"Yuen","Exp",1536462,10000,20,20,5,0.25,0,0.89,0.881939959861142,0.898060040138858,0.9699,0.966551095224047,0.973248904775953,0.9861,0.984174099784263,0.988025900215737,9861,9699,8900
"Yuen","Exp",3716621,10000,20,20,5,0.12,0,0.2806,0.269026228369349,0.292173771630651,0.5437,0.533937501677869,0.55346249832213,0.6678,0.660052012280346,0.675547987719653,6678,5437,2806
"Yuen","Exp",48965,10000,20,20,0,1.5,1,0.0074,0.00519225528409102,0.00960774471590898,0.0471,0.0429476859927987,0.0512523140072013,0.0911,0.086366491705302,0.095833508294698,911,471,74
"Yuen","Exp",72378897,10000,20,20,0.5,1.5,0,0.4649,0.452051775774021,0.477748224225979,0.7099,0.7010053569561,0.7187946430439,0.8111,0.80466099026123,0.81753900973877,8111,7099,4649
"Yuen","Exp",5473786,10000,20,20,1,1.5,0,0.9671,0.962505063655502,0.971694936344497,0.9934,0.991812951799598,0.994987048200402,0.9975,0.996678528768383,0.998321471231617,9975,9934,9671
"Yuen","Exp",240661052,10000,20,20,1.5,1.5,0,0.9993,0.998618693044967,0.999981306955033,1,1,1,1,1,1,10000,10000,9993
"Yuen","Exp",420478,10000,20,20,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Exp",40966,10000,20,20,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Exp",643217,10000,20,20,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Exp",34646375,10000,100,100,0,1,1,0.0101,0.00752425890101043,0.0126757410989896,0.0483,0.0440977714272543,0.0525022285727457,0.0979,0.0930113990300931,0.102788600969907,979,483,101
"Yuen","Exp",2743767,10000,100,100,0,0.5,1,0.009,0.00656721381654696,0.011432786183453,0.0474,0.043235138816431,0.051564861183569,0.0974,0.0925225475371768,0.102277452462823,974,474,90
