"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Normal2Var",168590975,10000,100,100,0.5,3,5,0,0.0286,0.0243063372947676,0.0328936627052324,0.0873,0.0817674261655537,0.0928325738344463,0.1401,0.134390357132537,0.145809642867463,1401,873,286
"Mood","Normal2Var",83301238,10000,100,100,1.5,3,5,0,0.2924,0.280682675567613,0.304117324432387,0.5035,0.493700240102941,0.513299759897059,0.6136,0.605590099216495,0.621609900783505,6136,5035,2924
"Mood","Normal2Var",3248020,10000,100,100,2,3,5,0,0.5403,0.527461904726338,0.553138095273662,0.7448,0.736254917887252,0.753345082112748,0.8227,0.816417376727212,0.828982623272788,8227,7448,5403
"Mood","Normal2Var",87727,10000,100,100,2.5,3,5,0,0.7879,0.777369433302069,0.798430566697932,0.9124,0.90685883907846,0.91794116092154,0.9486,0.944967638850679,0.952232361149321,9486,9124,7879
"Mood","Normal2Var",8856511,10000,100,100,0.5,1,5,0,0.0738,0.0670651732541768,0.0805348267458232,0.1689,0.161556594045921,0.176243405954079,0.2411,0.234063498511265,0.248136501488735,2411,1689,738
"Mood","Normal2Var",590843,10000,100,100,1.5,1,5,0,0.5392,0.526359644860179,0.552040355139821,0.718,0.709180522682154,0.726819477317846,0.7907,0.784007993011078,0.797392006988922,7907,7180,5392
"Mood","Normal2Var",161492916,10000,100,100,2,1,5,0,0.8045,0.794283967549308,0.814716032450692,0.9089,0.903260075223339,0.914539924776661,0.9443,0.940527332813542,0.948072667186458,9443,9089,8045
"Mood","Normal2Var",1441054,10000,100,100,2.5,1,5,0,0.9508,0.945228488944789,0.956371511055211,0.9832,0.980680979817151,0.985719020182849,0.9915,0.989989844306247,0.993010155693753,9915,9832,9508
"Mood","Normal2Var",152778986,10000,100,100,1,1,3,0,0.5406,0.527762531977556,0.553437468022444,0.7328,0.724127046287129,0.741472953712871,0.8068,0.800305400001509,0.813294599998491,8068,7328,5406
"Mood","Normal2Var",2903107,10000,100,100,1,3,5,0,0.1098,0.101746385755992,0.117853614244008,0.2407,0.232320833573583,0.249079166426417,0.3408,0.333003058160125,0.348596941839875,3408,2407,1098
"Mood","Normal2Var",879960,10000,100,100,1,1,5,0,0.2534,0.242195482564477,0.264604517435523,0.4231,0.413416600411921,0.432783399588079,0.5162,0.507979318271585,0.524420681728415,5162,4231,2534
"Mood","Normal2Var",279581672,10000,100,100,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Normal2Var",10743380,10000,100,100,5,3,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Normal2Var",19359094,10000,100,100,5,1,5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Normal2Var",3435752,10000,10,100,0.5,1,3,0,0.0181,0.0146658538321056,0.0215341461678944,0.1008,0.0948991512019371,0.106700848798063,0.2795,0.272118004077529,0.286881995922471,2795,1008,181
"Mood","Normal2Var",240403154,10000,10,100,1.5,1,3,0,0.3012,0.289381842034553,0.313018157965447,0.6507,0.641355721635054,0.660044278364946,0.8807,0.875367877451261,0.886032122548739,8807,6507,3012
"Mood","Normal2Var",182611,10000,10,100,2,1,3,0,0.5814,0.568691830920014,0.594108169079986,0.8833,0.877007175577088,0.889592824422912,0.9747,0.972116778504314,0.977283221495686,9747,8833,5814
"Mood","Normal2Var",249563,10000,10,100,2.5,1,3,0,0.8133,0.803262087542206,0.823337912457794,0.9786,0.975763612493611,0.981436387506389,0.9981,0.997383642634591,0.998816357365409,9981,9786,8133
"Mood","Normal2Var",54455321,10000,10,100,0.5,3,5,0,0.0027,0.00136327937126114,0.00403672062873885,0.0256,0.022504401043029,0.028695598956971,0.1222,0.116812351007731,0.127587648992269,1222,256,27
"Mood","Normal2Var",17469,10000,10,100,1.5,3,5,0,0.0149,0.0117791050358873,0.0180208949641127,0.0955,0.089739475305148,0.101260524694852,0.2974,0.289880474142135,0.304919525857865,2974,955,149
"Mood","Normal2Var",200328998,10000,10,100,2,3,5,0,0.0349,0.0301723563916657,0.0396276436083343,0.1735,0.166077892506841,0.180922107493159,0.4334,0.425248291505758,0.441551708494242,4334,1735,349
"Mood","Normal2Var",2094225,10000,10,100,2.5,3,5,0,0.0654,0.0590313464945576,0.0717686535054424,0.2709,0.262189278613662,0.279610721386338,0.5632,0.555040969808219,0.571359030191781,5632,2709,654
"Mood","Normal2Var",48067213,10000,10,100,0.5,1,5,0,0.028,0.0237503026035258,0.0322496973964743,0.1204,0.114021597443372,0.126778402556628,0.298,0.290476107351244,0.305523892648756,2980,1204,280
"Mood","Normal2Var",22950,10000,10,100,1.5,1,5,0,0.2436,0.232542415655239,0.254657584344761,0.5291,0.519316611554763,0.538883388445237,0.7631,0.756105782082321,0.770094217917679,7631,5291,2436
"Mood","Normal2Var",1191007,10000,10,100,2,1,5,0,0.4641,0.451253242644412,0.476946757355588,0.7644,0.75608228465368,0.77271771534632,0.9165,0.911949329668129,0.921050670331871,9165,7644,4641
"Mood","Normal2Var",35092002,10000,10,100,2.5,1,5,0,0.6789,0.666872678620711,0.690927321379289,0.9099,0.904288030534794,0.915511969465206,0.9781,0.975692426307467,0.980507573692533,9781,9099,6789
"Mood","Normal2Var",269202,10000,10,100,1,1,3,0,0.0978,0.0901481456032922,0.105451854396708,0.3367,0.327437406003845,0.345962593996155,0.6111,0.603080615889236,0.619119384110764,6111,3367,978
"Mood","Normal2Var",6967118,10000,10,100,1,3,5,0,0.0071,0.00493714308998861,0.00926285691001139,0.0535,0.0490894447016277,0.0579105552983723,0.1905,0.184040159144811,0.196959840855189,1905,535,71
"Mood","Normal2Var",877916,10000,10,100,1,1,5,0,0.0992,0.0914995539319896,0.10690044606801,0.2887,0.279818100236458,0.297581899763542,0.5224,0.514183258097664,0.530616741902336,5224,2887,992
"Mood","Normal2Var",27982677,10000,10,100,5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","Normal2Var",13748803,10000,10,100,5,3,5,0,0.4955,0.482620521650564,0.508379478349436,0.8517,0.844734216528085,0.858665783471915,0.9718,0.969076803979163,0.974523196020837,9718,8517,4955
"Mood","Normal2Var",31560,10000,10,100,5,1,5,0,0.9993,0.998618693044967,0.999981306955033,1,1,1,1,1,1,10000,10000,9993
