"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarEqual","Normal2Var",734367,1000,20,20,1.5,1,5,0,0.101,0.0764536800105596,0.12554631998944,0.24,0.213529113350702,0.266470886649298,0.358,0.333061235758362,0.382938764241638
"TTest_VarEqual","Normal2Var",149755,1000,20,20,2,1,5,0,0.185,0.153369174427467,0.216630825572533,0.382,0.351885060823571,0.412114939176429,0.509,0.482994480163338,0.535005519836662
"TTest_VarEqual","Normal2Var",149554,1000,20,20,2.5,1,5,0,0.334,0.295580102075305,0.372419897924695,0.583,0.552439646310947,0.613560353689053,0.708,0.684347668520841,0.731652331479159
"TTest_VarEqual","Normal2Var",93872585,1000,100,100,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.059,0.0443958296914888,0.0736041703085112,0.124,0.106855343118044,0.141144656881956
"TTest_VarEqual","Normal2Var",3567449,1000,100,100,0,3,5,1,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.097,0.0816044345418884,0.112395565458112
"TTest_VarEqual","Normal2Var",818670,1000,100,100,0,1,5,1,0.014,0.00442919794876103,0.023570802051239,0.067,0.0515034759510399,0.0824965240489601,0.115,0.0984046484106241,0.131595351589376
"TTest_VarEqual","Normal2Var",50820591,1000,100,100,0.5,1,2,0,0.364,0.324805501826098,0.403194498173902,0.622,0.591946354204523,0.652053645795477,0.729,0.705878590160308,0.752121409839692
"TTest_VarEqual","Normal2Var",113200,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"TTest_VarEqual","Normal2Var",12465351,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"TTest_VarEqual","Normal2Var",164092,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"TTest_VarEqual","Normal2Var",260329895,1000,100,100,0.5,3,5,0,0.05,0.0322461452073078,0.0677538547926922,0.152,0.129747654649453,0.174252345350547,0.248,0.225535297945443,0.270464702054557
"TTest_VarEqual","Normal2Var",64637,1000,100,100,1.5,3,5,0,0.474,0.433324968157062,0.514675031842938,0.705,0.676734176820761,0.733265823179239,0.805,0.784389850209787,0.825610149790213
"TTest_VarEqual","Normal2Var",1761542,1000,100,100,2,3,5,0,0.8,0.767415890989625,0.832584109010375,0.929,0.91308183131136,0.94491816868864,0.962,0.952054073703269,0.971945926296731
"TTest_VarEqual","Normal2Var",11599376,1000,100,100,2.5,3,5,0,0.951,0.933415332649606,0.968584667350394,0.986,0.978717868004492,0.993282131995508,0.993,0.988662998757782,0.997337001242218
"TTest_VarEqual","Normal2Var",19550237,1000,100,100,0.5,1,5,0,0.052,0.0339136180042552,0.0700863819957448,0.16,0.137277521261975,0.182722478738025,0.257,0.234268564062625,0.279731435937375
"TTest_VarEqual","Normal2Var",322206202,1000,100,100,1.5,1,5,0,0.62,0.580460287992956,0.659539712007044,0.831,0.80777263548312,0.85422736451688,0.899,0.883325040224135,0.914674959775865
"TTest_VarEqual","Normal2Var",229935041,1000,100,100,2,1,5,0,0.909,0.885571283540407,0.932428716459593,0.97,0.959426894495939,0.980573105504061,0.984,0.977472852261516,0.990527147738484
"TTest_VarEqual","Normal2Var",39759,1000,100,100,2.5,1,5,0,0.986,0.976429197948761,0.995570802051239,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"TTest_VarEqual","Normal2Var",430408,1000,10,100,0,1,2,1,0,0,0,0,0,0,0.005,0.00133087553018435,0.00866912446981565
"TTest_VarEqual","Normal2Var",19827744,1000,10,100,0,3,5,1,0,0,0,0.003,-0.000389723528549194,0.00638972352854919,0.012,0.00633584671817579,0.0176641532818242
"TTest_VarEqual","Normal2Var",252247719,1000,10,100,0,1,5,1,0,0,0,0,0,0,0,0,0
"TTest_VarEqual","Normal2Var",75273867,1000,10,100,0.5,1,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.024,0.0145139239724742,0.0334860760275258,0.07,0.0567273880679047,0.0832726119320954
"TTest_VarEqual","Normal2Var",2670542,1000,10,100,1.5,1,2,0,0.313,0.275225702533919,0.350774297466081,0.72,0.692170760700299,0.747829239299701,0.871,0.853563077594512,0.888436922405488
"TTest_VarEqual","Normal2Var",92873,1000,10,100,2,1,2,0,0.786,0.752590958315091,0.819409041684909,0.965,0.9536092124943,0.9763907875057,0.991,0.986087257692999,0.995912742307001
"TTest_VarEqual","Normal2Var",229475492,1000,10,100,2.5,1,2,0,0.982,0.971169765626913,0.992830234373087,1,1,1,1,1,1
"TTest_VarEqual","Normal2Var",1081362,1000,10,100,0.5,3,5,0,0,0,0,0.008,0.00247850223218373,0.0135214977678163,0.02,0.0127172745486322,0.0272827254513678
"TTest_VarEqual","Normal2Var",165685308,1000,10,100,1.5,3,5,0,0.008,0.000743174362298623,0.0152568256377014,0.066,0.0506113161576436,0.0813886838423564,0.153,0.134273641951116,0.171726358048884
"TTest_VarEqual","Normal2Var",268224660,1000,10,100,2,3,5,0,0.025,0.0122820190281633,0.0377179809718367,0.125,0.104501829349915,0.145498170650085,0.269,0.245932489298258,0.292067510701742
"TTest_VarEqual","Normal2Var",35134,1000,10,100,2.5,3,5,0,0.072,0.0509435043462593,0.0930564956537407,0.255,0.227985041921187,0.282014958078813,0.46,0.434073630990823,0.485926369009177
"TTest_VarEqual","Normal2Var",50631278,1000,10,100,0.5,1,5,0,0,0,0,0,0,0,0,0,0
"TTest_VarEqual","Normal2Var",3871984,1000,10,100,1.5,1,5,0,0,0,0,0.005,0.00062827722745369,0.00937172277254631,0.025,0.0168784632380934,0.0331215367619066
"TTest_VarEqual","Normal2Var",697192,1000,10,100,2,1,5,0,0,0,0,0.037,0.0253004252384969,0.0486995747615031,0.151,0.132374487954019,0.169625512045981
"TTest_VarEqual","Normal2Var",2045478,1000,10,100,2.5,1,5,0,0.006,-0.000290927440687899,0.0122909274406879,0.156,0.133509992832371,0.178490007167629,0.413,0.387387027763748,0.438612972236252
