"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Exp",957221,10000,20,20,2.5,0.25,0,0.4474,0.434591470028164,0.460208529971836,0.7801,0.771982097610934,0.788217902389066,0.8865,0.881282010473911,0.891717989526089,8865,7801,4474
"KS","Exp",5734165,10000,20,20,2.5,0.125,0,0.0581,0.0520739001520333,0.0641260998479667,0.239,0.230641134249194,0.247358865750806,0.3992,0.391143876216542,0.407256123783458,3992,2390,581
"KS","Exp",295475963,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",354993701,10000,20,20,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",279160309,10000,20,20,5,0.25,0,0.9786,0.974872176420174,0.982327823579826,0.9978,0.996881690321515,0.998718309678485,0.9996,0.999271065806581,0.999928934193419,9996,9978,9786
"KS","Exp",297340,10000,20,20,5,0.12,0,0.3944,0.381810535861504,0.406989464138495,0.7348,0.726147782961946,0.743452217038054,0.8649,0.859276890698735,0.870523109301265,8649,7348,3944
"KS","Exp",27525,10000,20,20,0,1.5,1,0.0032,0.00174512774259181,0.00465487225740819,0.0347,0.0311128299753706,0.0382871700246294,0.0809,0.0764143896399737,0.0853856103600263,809,347,32
"KS","Exp",822222,10000,20,20,0.5,1.5,0,0.6405,0.628138963947888,0.652861036052111,0.8945,0.888478946673546,0.900521053326454,0.9561,0.952729845418089,0.959470154581911,9561,8945,6405
"KS","Exp",43781,10000,20,20,1,1.5,0,0.9973,0.995963279371261,0.998636720628739,1,1,1,1,1,1,10000,10000,9973
"KS","Exp",310870232,10000,20,20,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",147468,10000,20,20,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",41574066,10000,20,20,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1948756,10000,20,20,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",50789,10000,100,100,0,1,1,0.0059,0.00392718254677631,0.00787281745322369,0.0359,0.0322535997544976,0.0395464002455024,0.08,0.0755372268711036,0.0844627731288964,800,359,59
"KS","Exp",137973952,10000,100,100,0,0.5,1,0.0057,0.0037607133569851,0.0076392866430149,0.0367,0.0330147251476179,0.0403852748523821,0.0776,0.0731989489108169,0.0820010510891831,776,367,57
"KS","Exp",336652029,10000,100,100,0,0.25,1,0.0052,0.00334725598592358,0.00705274401407642,0.0356,0.0319683024654578,0.0392316975345422,0.0791,0.0746602309382159,0.0835397690617841,791,356,52
"KS","Exp",17525677,10000,100,100,0,0.125,1,0.0075,0.00527750011023622,0.00972249988976378,0.0398,0.0359684150546282,0.0436315849453718,0.0808,0.0763169189507215,0.0852830810492785,808,398,75
"KS","Exp",333532310,10000,100,100,0.5,1,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"KS","Exp",225291,10000,100,100,0.5,0.5,0,0.6106,0.598039057363842,0.623160942636159,0.883,0.876700162402093,0.889299837597907,0.9525,0.949000989874354,0.955999010125646,9525,8830,6106
"KS","Exp",25095263,10000,100,100,0.5,0.25,0,0.0634,0.0571227768988076,0.0696772231011924,0.2259,0.217703796730778,0.234096203269222,0.3698,0.361858755727476,0.377741244272524,3698,2259,634
"KS","Exp",21103192,10000,100,100,0.5,0.125,0,0.0158,0.0125877001123905,0.0190122998876095,0.0726,0.0675142158089042,0.0776857841910958,0.1398,0.134095478686524,0.145504521313476,1398,726,158
"KS","Exp",817960,10000,100,100,1,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",3818380,10000,100,100,1,0.5,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"KS","Exp",330376161,10000,100,100,1,0.25,0,0.6102,0.597636724667409,0.622763275332591,0.8899,0.883764918530419,0.896035081469581,0.9553,0.951900699542439,0.958699300457561,9553,8899,6102
"KS","Exp",519557,10000,100,100,1,0.125,0,0.0624,0.0561691549269602,0.0686308450730398,0.2239,0.215729625567552,0.232070374432448,0.3744,0.366438732943457,0.382361267056543,3744,2239,624
"KS","Exp",17909094,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",52768,10000,100,100,1.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",38344621,10000,100,100,1.5,0.25,0,0.9824,0.979012756878725,0.985787243121275,0.9987,0.997993771446627,0.999406228553373,0.9996,0.999271065806581,0.999928934193419,9996,9987,9824
"KS","Exp",35706620,10000,100,100,1.5,0.125,0,0.2456,0.234511804366009,0.256688195633991,0.572,0.562302138660509,0.581697861339491,0.7454,0.738233785619234,0.752566214380766,7454,5720,2456
"KS","Exp",1915315,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1925200,10000,100,100,2,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",127401,10000,100,100,2,0.25,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"KS","Exp",2167628,10000,100,100,2,0.125,0,0.613,0.600453240353557,0.625546759646443,0.8799,0.873528462640901,0.886271537359099,0.948,0.944347655432465,0.951652344567535,9480,8799,6130
"KS","Exp",83290,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",17295,10000,100,100,2.5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1326510,10000,100,100,2.5,0.25,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1040930,10000,100,100,2.5,0.125,0,0.8869,0.878741421649818,0.895058578350182,0.9853,0.982941157303761,0.987658842696239,0.9954,0.994286875770141,0.996513124229859,9954,9853,8869
"KS","Exp",457023,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",17586257,10000,100,100,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",83397335,10000,100,100,5,0.25,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",73416,10000,100,100,5,0.12,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",87211,10000,100,100,0,1.5,1,0.0066,0.00451416522232848,0.00868583477767152,0.0384,0.0346336653055789,0.0421663346944211,0.0801,0.0756346812091436,0.0845653187908564,801,384,66
"KS","Exp",51824,10000,100,100,0.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",22027,10000,100,100,1,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1363058,10000,100,100,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",1735572,10000,100,100,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",64903,10000,100,100,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",175094622,10000,100,100,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",2173563,10000,10,100,0,1,1,0.0111,0.00840112023907993,0.0137988797609201,0.0461,0.0419898472867301,0.0502101527132699,0.1045,0.099467812175666,0.109532187824334,1045,461,111
"KS","Exp",2325255,10000,10,100,0,0.5,1,0.0078,0.0055338285107221,0.0100661714892779,0.0421,0.0381639808213882,0.0460360191786118,0.0981,0.0932069506108179,0.102993049389182,981,421,78
"KS","Exp",2121677,10000,10,100,0,0.25,1,0.0086,0.00622141025800917,0.0109785897419908,0.0424,0.0384506004863524,0.0463493995136476,0.0975,0.0926203146890014,0.102379685310999,975,424,86
"KS","Exp",446555,10000,10,100,0,0.125,1,0.01,0.00743691236201335,0.0125630876379867,0.0419,0.0379729312633467,0.0458270687366533,0.1009,0.095945321442114,0.105854678557886,1009,419,100
"KS","Exp",528700,10000,10,100,0.5,1,0,0.3074,0.295513909465824,0.319286090534176,0.5423,0.532535133060118,0.552064866939882,0.7202,0.712815581258088,0.727584418741912,7202,5423,3074
"KS","Exp",698591,10000,10,100,0.5,0.5,0,0.0745,0.0677358659367514,0.0812641340632486,0.199,0.191174738353256,0.206825261646744,0.3453,0.33747858442379,0.35312141557621,3453,1990,745
"KS","Exp",520510,10000,10,100,0.5,0.25,0,0.0212,0.0174892579174165,0.0249107420825835,0.0864,0.0808933054409746,0.0919066945590254,0.1743,0.168059408745577,0.180540591254423,1743,864,212
"KS","Exp",5216104,10000,10,100,0.5,0.125,0,0.0137,0.0107055941757577,0.0166944058242423,0.0546,0.0501469231340117,0.0590530768659883,0.1183,0.112987258379257,0.123612741620743,1183,546,137
"KS","Exp",58230,10000,10,100,1,1,0,0.8056,0.795405786667405,0.815794213332595,0.9289,0.923862960539523,0.933937039460477,0.9782,0.975797806550692,0.980602193449308,9782,9289,8056
"KS","Exp",69325,10000,10,100,1,0.5,0,0.3059,0.294030112047717,0.317769887952283,0.5356,0.525824871817597,0.545375128182403,0.7145,0.707070320577281,0.721929679422719,7145,5356,3059
"KS","Exp",36562,10000,10,100,1,0.25,0,0.0742,0.0674484047409271,0.0809515952590729,0.2016,0.193736577707486,0.209463422292514,0.3426,0.334793175228872,0.350406824771128,3426,2016,742
"KS","Exp",36864,10000,10,100,1,0.125,0,0.0253,0.0212547850620745,0.0293452149379255,0.0863,0.0807961919174448,0.0918038080825552,0.1648,0.158697050886793,0.170902949113207,1648,863,253
