"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Normal2Var",343125027,1000,20,20,0,1,5,1,0.012,0.00313017698846251,0.0208698230115375,0.049,0.0356203617986135,0.0623796382013865,0.103,0.0871882209800731,0.118811779019927
"Yuenbt","Normal2Var",10542320,1000,20,20,0.5,1,2,0,0.037,0.0216234160277388,0.0523765839722612,0.133,0.111952939929767,0.154047060070233,0.218,0.196521817630442,0.239478182369558
"Yuenbt","Normal2Var",148290,1000,20,20,1.5,1,2,0,0.38,0.340460287992956,0.419539712007044,0.692,0.663385611004252,0.720614388995748,0.824,0.804189937667943,0.843810062332057
"Yuenbt","Normal2Var",318961092,1000,20,20,2,1,2,0,0.696,0.658529691365242,0.733470308634758,0.918,0.900994698426667,0.935005301573333,0.966,0.956572556810036,0.975427443189964
"Yuenbt","Normal2Var",179002799,1000,20,20,2.5,1,2,0,0.891,0.865613784658914,0.916386215341086,0.985,0.977466100611237,0.992533899388763,0.993,0.988662998757782,0.997337001242218
"Yuenbt","Normal2Var",30973016,1000,20,20,0.5,3,5,0,0.014,0.00442919794876103,0.023570802051239,0.055,0.0408696369473392,0.0691303630526608,0.119,0.102156694060399,0.135843305939601
"Yuenbt","Normal2Var",5220742,1000,20,20,1.5,3,5,0,0.055,0.0364286657022173,0.0735713342977827,0.155,0.132568915318246,0.177431084681754,0.257,0.234268564062625,0.279731435937375
"Yuenbt","Normal2Var",62760553,1000,20,20,2,3,5,0,0.097,0.0728911996230422,0.121108800376958,0.283,0.255080420891425,0.310919579108575,0.409,0.383424667021229,0.434575332978771
"Yuenbt","Normal2Var",9077953,1000,20,20,2.5,3,5,0,0.16,0.130136170801453,0.189863829198547,0.39,0.359768945767638,0.420231054232362,0.533,0.507046977270942,0.558953022729058
"Yuenbt","Normal2Var",20190605,1000,20,20,0.5,1,5,0,0.013,0.00377266875765262,0.0222273312423474,0.05,0.0364916322229516,0.0635083677770484,0.112,0.0955948050179219,0.128405194982078
"Yuenbt","Normal2Var",5363805,1000,20,20,1.5,1,5,0,0.058,0.0389591949346673,0.0770408050653327,0.201,0.176161378492356,0.225838621507644,0.337,0.312411184010307,0.361588815989693
"Yuenbt","Normal2Var",95461146,1000,20,20,2,1,5,0,0.11,0.0845119151288293,0.135488084871171,0.299,0.270624032731905,0.327375967268095,0.474,0.448025455208994,0.499974544791006
"Yuenbt","Normal2Var",86273,1000,20,20,2.5,1,5,0,0.181,0.149636314016621,0.212363685983379,0.438,0.407248855474958,0.468751144525042,0.582,0.556342429228393,0.607657570771607
"Yuenbt","Normal2Var",1098435,1000,100,100,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.041,0.0287098466079548,0.0532901533920452,0.087,0.0723390903496747,0.101660909650325
"Yuenbt","Normal2Var",300917,1000,100,100,0,3,5,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.113,0.0965310112097008,0.129468988790299
"Yuenbt","Normal2Var",2804529,1000,100,100,0,1,5,1,0.014,0.00442919794876103,0.023570802051239,0.046,0.0330159800369839,0.0589840199630161,0.108,0.0918541762551426,0.124145823744857
"Yuenbt","Normal2Var",10419019,1000,100,100,0.5,1,2,0,0.262,0.226180073921684,0.297819926078316,0.528,0.497058309910414,0.558941690089586,0.656,0.6312886174891,0.6807113825109
"Yuenbt","Normal2Var",1099539,1000,100,100,1.5,1,2,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"Yuenbt","Normal2Var",218978342,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal2Var",44312189,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal2Var",10074640,1000,100,100,0.5,3,5,0,0.034,0.0192370251323116,0.0487629748676884,0.119,0.0989313801570711,0.139068619842929,0.21,0.188812042394322,0.231187957605678
"Yuenbt","Normal2Var",52614340,1000,100,100,1.5,3,5,0,0.41,0.369935124929684,0.450064875070316,0.677,0.648016444082894,0.705983555917106,0.788,0.766738351136377,0.809261648863623
"Yuenbt","Normal2Var",515698,1000,100,100,2,3,5,0,0.699,0.661634767033725,0.736365232966275,0.868,0.847020124843079,0.888979875156921,0.928,0.914553596525465,0.941446403474536
