"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","Normal2Var",141531200,1000,100,100,2.5,3,5,0,0.996,0.99085831432466,1.00114168567534,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","Normal2Var",84377,1000,100,100,0.5,1,5,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",94156,1000,100,100,1.5,1,5,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",64121370,1000,100,100,2,1,5,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",17436377,1000,100,100,2.5,1,5,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",141674,1000,10,100,0,1,2,1,0.127,0.0998759309672018,0.154124069032798,0.402,0.371610770434248,0.432389229565752,0.572,0.546261347813065,0.597738652186935
"Lepage","Normal2Var",1694521,1000,10,100,0,3,5,1,0.053,0.03475017169352,0.07124982830648,0.208,0.182843493533481,0.233156506466519,0.327,0.302596770136414,0.351403229863586
"Lepage","Normal2Var",26630,1000,10,100,0,1,5,1,0.971,0.957330441982858,0.984669558017142,1,1,1,1,1,1
"Lepage","Normal2Var",3442442,1000,10,100,0.5,1,2,0,0.085,0.062282221094482,0.107717778905518,0.359,0.329267439558625,0.388732560441375,0.563,0.537197557542453,0.588802442457546
"Lepage","Normal2Var",4042539,1000,10,100,1.5,1,2,0,0.301,0.263634767033725,0.338365232966275,0.772,0.745996479746004,0.798003520253996,0.911,0.896187782037284,0.925812217962716
"Lepage","Normal2Var",28990384,1000,10,100,2,1,2,0,0.753,0.717868893925525,0.788131106074475,0.961,0.949000861430919,0.972999138569081,0.991,0.986087257692999,0.995912742307001
"Lepage","Normal2Var",62471342,1000,10,100,2.5,1,2,0,0.981,0.969878658854976,0.992121341145024,1,1,1,1,1,1
"Lepage","Normal2Var",93526402,1000,10,100,0.5,3,5,0,0.046,0.0289352880486074,0.0630647119513926,0.181,0.157136325882212,0.204863674117788,0.335,0.310447307288711,0.359552692711289
"Lepage","Normal2Var",175011,1000,10,100,1.5,3,5,0,0.038,0.0224251026502259,0.0535748973497741,0.205,0.179978314205474,0.230021685794526,0.399,0.373526443338729,0.424473556661271
"Lepage","Normal2Var",37295652,1000,10,100,2,3,5,0,0.04,0.0240371118402715,0.0559628881597285,0.257,0.229915735904404,0.284084264095596,0.464,0.438057771074944,0.489942228925056
"Lepage","Normal2Var",23739095,1000,10,100,2.5,3,5,0,0.06,0.0406542571504736,0.0793457428495263,0.326,0.296946743411452,0.355053256588548,0.546,0.520100573344184,0.571899426655816
"Lepage","Normal2Var",34347,1000,10,100,0.5,1,5,0,0.946,0.927588536690855,0.964411463309145,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","Normal2Var",1982083,1000,10,100,1.5,1,5,0,0.697,0.659564506558401,0.734435493441599,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","Normal2Var",13523486,1000,10,100,2,1,5,0,0.442,0.401544824193485,0.482455175806515,0.992,0.986478502232184,0.997521497767816,1,1,1
"Lepage","Normal2Var",6603912,1000,10,100,2.5,1,5,0,0.198,0.165538720208593,0.230461279791407,0.992,0.986478502232184,0.997521497767816,1,1,1
