"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Normal2Var",17787,10000,10,10,2,1,5,0,0.0583,0.0522641780335122,0.0643358219664877,0.1642,0.156939043563166,0.171460956436834,0.2121,0.205375317461919,0.218824682538081,2121,1642,583
"Gastwirth","Normal2Var",8543450,10000,10,10,2.5,1,5,0,0.0897,0.0823390417995742,0.0970609582004258,0.231,0.222739140587082,0.239260859412918,0.283,0.275589991641199,0.290410008358801,2830,2310,897
"Gastwirth","Normal2Var",273027,10000,10,10,1,1,3,0,0.0833,0.0761816067749009,0.0904183932250991,0.1907,0.183000080441875,0.198399919558125,0.2801,0.272713162530286,0.287486837469714,2801,1907,833
"Gastwirth","Normal2Var",149072,10000,10,10,1,3,5,0,0.1161,0.107847917987665,0.124352082012335,0.2077,0.199749047707752,0.215650952292248,0.3464,0.338572720073895,0.354227279926105,3464,2077,1161
"Gastwirth","Normal2Var",228003,10000,10,10,1,1,5,0,0.0265,0.0223625117486088,0.0306374882513912,0.0875,0.0819616992678259,0.0930383007321741,0.1191,0.113771743934271,0.124428256065729,1191,875,265
"Gastwirth","Normal2Var",257003,10000,10,10,5,1,3,0,0.848,0.838751621854098,0.857248378145902,0.9678,0.964339994285323,0.971260005714677,0.9796,0.977274558737874,0.981925441262126,9796,9678,8480
"Gastwirth","Normal2Var",53186758,10000,10,10,5,3,5,0,0.6322,0.619778359188206,0.644621640811794,0.7923,0.784349047707752,0.800250952292248,0.8772,0.871800986701591,0.882599013298409,8772,7923,6322
"Gastwirth","Normal2Var",16551168,10000,10,10,5,1,5,0,0.3543,0.341978975304214,0.366621024695786,0.6432,0.633810520629896,0.652589479370104,0.6932,0.685613824999356,0.700786175000644,6932,6432,3543
"Gastwirth","Normal2Var",534064,10000,20,20,0.5,1,3,0,0.0107,0.00804965901805522,0.0133503409819448,0.0437,0.039693235034395,0.047706764965605,0.0748,0.0704725255415658,0.0791274744584342,748,437,107
"Gastwirth","Normal2Var",20156286,10000,20,20,1.5,1,3,0,0.0845,0.0773352112912103,0.0916647887087897,0.221,0.212867558703563,0.229132441296437,0.317,0.30934569285451,0.32465430714549,3170,2210,845
"Gastwirth","Normal2Var",2864147,10000,20,20,2,1,3,0,0.1898,0.179698401984117,0.199901598015883,0.3985,0.38890404837236,0.40809595162764,0.5058,0.497575553396617,0.514024446603383,5058,3985,1898
"Gastwirth","Normal2Var",354776563,10000,20,20,2.5,1,3,0,0.3177,0.305706604601628,0.329693395398372,0.5709,0.561199025787561,0.580600974212439,0.6748,0.667094005269376,0.682505994730624,6748,5709,3177
"Gastwirth","Normal2Var",369004,10000,20,20,0.5,3,5,0,0.0279,0.0236576799271644,0.0321423200728356,0.0909,0.0852656497348496,0.0965343502651504,0.1574,0.15140928038487,0.16339071961513,1574,909,279
"Gastwirth","Normal2Var",4524250,10000,20,20,1.5,3,5,0,0.0853,0.078104520937393,0.092495479062607,0.2065,0.198566048069215,0.214433951930785,0.3094,0.301796048398162,0.317003951601838,3094,2065,853
"Gastwirth","Normal2Var",327100,10000,20,20,2,3,5,0,0.1521,0.142849125625392,0.161350874374608,0.3256,0.316415467605675,0.334784532394325,0.436,0.427842657469494,0.444157342530506,4360,3256,1521
"Gastwirth","Normal2Var",206798,10000,20,20,2.5,3,5,0,0.2187,0.208051727359752,0.229348272640248,0.4187,0.40903041771897,0.42836958228103,0.5434,0.535206043144176,0.551593956855824,5434,4187,2187
"Gastwirth","Normal2Var",242303,10000,20,20,0.5,1,5,0,0.0018,0.000708079815840004,0.00289192018416,0.0082,0.00643243639956012,0.00996756360043988,0.0132,0.0113225540699131,0.0150774459300869,132,82,18
"Gastwirth","Normal2Var",270336073,10000,20,20,1.5,1,5,0,0.0093,0.00682737409756834,0.0117726259024317,0.0334,0.0298782972200369,0.0369217027799631,0.053,0.0493146492599075,0.0566853507400925,530,334,93
"Gastwirth","Normal2Var",105820,10000,20,20,2,1,5,0,0.0187,0.0152104649781015,0.0221895350218985,0.0643,0.0594923828852955,0.0691076171147045,0.0943,0.0894925593373631,0.0991074406626369,943,643,187
