"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Normal2Var",6543288,10000,20,20,2,1,3,0,0.4175,0.404796538859035,0.430203461140965,0.6828,0.673678433747124,0.691921566252876,0.7904,0.783704469276181,0.797095530723819,7904,6828,4175
"VW","Normal2Var",46769669,10000,20,20,2.5,1,3,0,0.6511,0.638822210277778,0.663377789722222,0.8604,0.853607197599341,0.867192802400659,0.9221,0.917691167066788,0.926508832933212,9221,8604,6511
"VW","Normal2Var",127078391,10000,20,20,0.5,3,5,0,0.0138,0.0107948379142123,0.0168051620857877,0.0604,0.0557307616408669,0.0650692383591331,0.1171,0.111810676761345,0.122389323238655,1171,604,138
"VW","Normal2Var",21812514,10000,20,20,1.5,3,5,0,0.058,0.0519787687510277,0.0640212312489723,0.1825,0.174929381068895,0.190070618931105,0.2882,0.280749389118475,0.295650610881525,2882,1825,580
"VW","Normal2Var",5644786,10000,20,20,2,3,5,0,0.107,0.099037242735233,0.114962757264767,0.2906,0.281700830711668,0.299499169288332,0.4217,0.413576479159947,0.429823520840053,4217,2906,1070
"VW","Normal2Var",15129583,10000,20,20,2.5,3,5,0,0.1837,0.173724714483311,0.193675285516689,0.4163,0.406638287205179,0.425961712794821,0.5507,0.54251739381494,0.55888260618506,5507,4163,1837
"VW","Normal2Var",24952280,10000,20,20,0.5,1,5,0,0.0149,0.0117791050358873,0.0180208949641127,0.0623,0.0575626872983093,0.0670373127016907,0.1167,0.111418522359342,0.121981477640658,1167,623,149
"VW","Normal2Var",48277,10000,20,20,1.5,1,5,0,0.0595,0.0534062625096251,0.0655937374903749,0.1838,0.176208508325131,0.191391491674869,0.2863,0.278864084863531,0.293735915136469,2863,1838,595
"VW","Normal2Var",311624,10000,20,20,2,1,5,0,0.1181,0.109786565511748,0.126413434488252,0.3005,0.291513880928899,0.309486119071101,0.4291,0.420958110928846,0.437241889071154,4291,3005,1181
"VW","Normal2Var",346962,10000,20,20,2.5,1,5,0,0.202,0.191657560500075,0.212342439499925,0.4293,0.419598465065692,0.439001534934308,0.5674,0.559250070994966,0.575549929005034,5674,4293,2020
"VW","Normal2Var",155509779,10000,20,20,1,1,3,0,0.0749,0.0681191972991228,0.0816808027008772,0.2142,0.206158782357279,0.222241217642721,0.3251,0.317394619294352,0.332805380705648,3251,2142,749
"VW","Normal2Var",33514777,10000,20,20,1,3,5,0,0.0264,0.0222701136098067,0.0305298863901933,0.1091,0.102989413079712,0.115210586920288,0.1827,0.176343384750689,0.189056615249311,1827,1091,264
"VW","Normal2Var",196928,10000,20,20,1,1,5,0,0.0265,0.0223625117486088,0.0306374882513912,0.104,0.0980168933287129,0.109983106671287,0.1787,0.172397989971305,0.185002010028695,1787,1040,265
"VW","Normal2Var",228552632,10000,20,20,5,1,3,0,0.999,0.99818580467798,0.99981419532202,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9990
"VW","Normal2Var",110152763,10000,20,20,5,3,5,0,0.8083,0.798159877432144,0.818440122567856,0.9459,0.941466187569326,0.950333812430674,0.9752,0.972641775881905,0.977758224118094,9752,9459,8083
"VW","Normal2Var",1357138,10000,20,20,5,1,5,0,0.8165,0.806528924894556,0.826471075105444,0.9439,0.939389751247836,0.948410248752164,0.974,0.971382226573975,0.976617773426025,9740,9439,8165
"VW","Normal2Var",79267,10000,100,100,0.5,1,3,0,0.0932,0.0857112458961603,0.10068875410384,0.2558,0.247248325260068,0.264351674739933,0.3719,0.363949519290636,0.379850480709364,3719,2558,932
"VW","Normal2Var",2413572,10000,100,100,1.5,1,3,0,0.9326,0.92614162122032,0.93905837877968,0.9856,0.98326499580677,0.98793500419323,0.9946,0.993394445052642,0.995805554947358,9946,9856,9326
"VW","Normal2Var",6273543,10000,100,100,2,1,3,0,0.9983,0.997238791170063,0.999361208829937,0.9998,0.999522841861747,1.00007715813825,0.9999,0.999735508225206,1.00006449177479,9999,9998,9983
