"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Cauchy",86220,10000,10,10,1.5,1,1,0,0.1554,0.146067523511673,0.164732476488327,0.3645,0.355066722395689,0.373933277604311,0.5064,0.498175673819601,0.514624326180399,5064,3645,1554
"HFR","Cauchy",14239394,10000,10,10,1.5,0.5,0.5,0,0.431,0.418243232892053,0.443756767107947,0.711,0.702115360860451,0.719884639139549,0.8214,0.81509936996967,0.82770063003033,8214,7110,4310
"HFR","Cauchy",23065924,10000,10,10,1.5,2,2,0,0.0417,0.03655050512505,0.04684949487495,0.1441,0.13721665440426,0.150983345595741,0.2474,0.240301806129226,0.254498193870774,2474,1441,417
"HFR","Cauchy",31315647,10000,10,10,1.5,0.5,2,0,0.0797,0.0727234657542003,0.0866765342457997,0.2242,0.216025734055122,0.232374265944878,0.3385,0.330715868517017,0.346284131482984,3385,2242,797
"HFR","Cauchy",958355,10000,10,10,1.5,1,2,0,0.0594,0.0533110617691371,0.0654889382308629,0.1866,0.178964034191381,0.194235965808619,0.2957,0.288192930980751,0.303207069019249,2957,1866,594
"HFR","Cauchy",133088,10000,10,10,2,1,1,0,0.2472,0.236087548024328,0.258312451975672,0.5033,0.493500213446324,0.513099786553675,0.6415,0.63361123874779,0.64938876125221,6415,5033,2472
"HFR","Cauchy",426538,10000,10,10,2,0.5,0.5,0,0.5755,0.56276768513641,0.58823231486359,0.8245,0.817044273612853,0.831955726387147,0.9002,0.895269389715674,0.905130610284326,9002,8245,5755
"HFR","Cauchy",98330638,10000,10,10,2,2,2,0,0.0684,0.0618973758970902,0.0749026241029098,0.2065,0.198566048069215,0.214433951930785,0.3261,0.318388497035534,0.333811502964466,3261,2065,684
"HFR","Cauchy",105536,10000,10,10,2,0.5,2,0,0.1355,0.126683463595629,0.144316536404371,0.3343,0.325053794572821,0.343546205427179,0.458,0.449804069168789,0.466195930831211,4580,3343,1355
"HFR","Cauchy",159024,10000,10,10,2,1,2,0,0.1068,0.0988437972426681,0.114756202757332,0.2803,0.271496743185298,0.289103256814702,0.4065,0.398420089710004,0.414579910289995,4065,2803,1068
"HFR","Cauchy",119869,10000,10,10,2.5,1,1,0,0.3456,0.333349484308583,0.357850515691417,0.622,0.612496202729435,0.631503797270565,0.7504,0.743280744073037,0.757519255926963,7504,6220,3456
"HFR","Cauchy",1669542,10000,10,10,2.5,0.5,0.5,0,0.6609,0.648705117237409,0.673094882762591,0.8761,0.869642438295579,0.882557561704421,0.9384,0.934444965666698,0.942355034333302,9384,8761,6609
"HFR","Cauchy",136984,10000,10,10,2.5,2,2,0,0.1024,0.0945902477129538,0.110209752287046,0.2813,0.27248718284034,0.29011281715966,0.4047,0.396625782468822,0.412774217531178,4047,2813,1024
