"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Cauchy",206986719,1000,20,20,0.5,1,2,0,0,0,0,0.015,0.00746610061123723,0.0225338993887628,0.054,0.0422426796803013,0.0657573203196987
"Bayes_TTest_VarUnequal","Cauchy",186136704,1000,20,20,1,1,1,0,0.015,0.00509830366048322,0.0249016963395168,0.069,0.0532907497823734,0.0847092502176266,0.116,0.0993420701286144,0.132657929871386
"Bayes_TTest_VarUnequal","Cauchy",50719948,1000,20,20,1,0.5,0.5,0,0.077,0.0552833880152543,0.0987166119847457,0.19,0.165684938001313,0.214315061998687,0.266,0.243014457911548,0.288985542088452
"Bayes_TTest_VarUnequal","Cauchy",9457740,1000,20,20,1,2,2,0,0,0,0,0.022,0.0129084728675541,0.0310915271324459,0.058,0.0458407902436055,0.0701592097563945
"Bayes_TTest_VarUnequal","Cauchy",15694748,1000,20,20,1,0.5,2,0,0.009,0.00130685460010016,0.0166931453998998,0.049,0.0356203617986135,0.0623796382013865,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarUnequal","Cauchy",17745040,1000,20,20,1,1,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.034,0.0227673017311066,0.0452326982688934,0.074,0.060382817578515,0.087617182421485
"Bayes_TTest_VarUnequal","Cauchy",715781,1000,20,20,1.5,1,1,0,0.044,0.0272928972690056,0.0607071027309944,0.122,0.101714615468274,0.142285384531726,0.198,0.177270650133205,0.218729349866795
"Bayes_TTest_VarUnequal","Cauchy",48174,1000,20,20,1.5,0.5,0.5,0,0.194,0.161788255581791,0.226211744418209,0.341,0.311618364402233,0.370381635597768,0.421,0.3953169715965,0.4466830284035
"Bayes_TTest_VarUnequal","Cauchy",46432,1000,20,20,1.5,2,2,0,0.011,0.00250349441805633,0.0194965055819437,0.041,0.0287098466079548,0.0532901533920452,0.093,0.0778918593210481,0.108108140678952
"Bayes_TTest_VarUnequal","Cauchy",94021,1000,20,20,1.5,0.5,2,0,0.027,0.0137966492398331,0.0402033507601669,0.084,0.0668073250946806,0.101192674905319,0.149,0.130476467292252,0.167523532707748
"Bayes_TTest_VarUnequal","Cauchy",7283362,1000,20,20,1.5,1,2,0,0.013,0.00377266875765262,0.0222273312423474,0.062,0.0470530240650491,0.0769469759349509,0.115,0.0984046484106241,0.131595351589376
"Bayes_TTest_VarUnequal","Cauchy",63125109,1000,20,20,2,1,1,0,0.083,0.0605265590721848,0.105473440927815,0.2,0.17520774314428,0.22479225685572,0.3,0.276161685252518,0.323838314747482
"Bayes_TTest_VarUnequal","Cauchy",23179,1000,20,20,2,0.5,0.5,0,0.298,0.260741741907384,0.335258258092616,0.437,0.406256664305902,0.467743335694098,0.509,0.482994480163338,0.535005519836662
"Bayes_TTest_VarUnequal","Cauchy",47449,1000,20,20,2,2,2,0,0.012,0.00313017698846251,0.0208698230115375,0.052,0.038238622394542,0.065761377605458,0.11,0.0937236414545513,0.126276358545449
"Bayes_TTest_VarUnequal","Cauchy",159972362,1000,20,20,2,0.5,2,0,0.048,0.0305865448547395,0.0654134551452605,0.154,0.131628164706489,0.176371835293511,0.237,0.214879122829892,0.259120877170108
"Bayes_TTest_VarUnequal","Cauchy",58070,1000,20,20,2,1,2,0,0.023,0.0107888361530934,0.0352111638469066,0.088,0.0704412002232499,0.10555879977675,0.151,0.132374487954019,0.169625512045981
"Bayes_TTest_VarUnequal","Cauchy",8528468,1000,20,20,2.5,1,1,0,0.147,0.1181544355504,0.1758455644496,0.274,0.246356077731263,0.301643922268737,0.372,0.346856994284692,0.397143005715308
"Bayes_TTest_VarUnequal","Cauchy",75532040,1000,20,20,2.5,0.5,0.5,0,0.396,0.356160679639532,0.435839320360468,0.526,0.49505160620646,0.55694839379354,0.6,0.574515769581955,0.625484230418045
"Bayes_TTest_VarUnequal","Cauchy",21963,1000,20,20,2.5,2,2,0,0.026,0.0130368062799324,0.0389631937200676,0.089,0.071351399874211,0.106648600125789,0.163,0.143785794401667,0.182214205598333
"Bayes_TTest_VarUnequal","Cauchy",4805778,1000,20,20,2.5,0.5,2,0,0.074,0.0526760717825256,0.0953239282174744,0.185,0.16093306749916,0.20906693250084,0.28,0.256643317016323,0.303356682983677
"Bayes_TTest_VarUnequal","Cauchy",553520,1000,20,20,2.5,1,2,0,0.06,0.0406542571504736,0.0793457428495263,0.146,0.124114249969444,0.167885750030556,0.223,0.201346463157835,0.244653536842165
"Bayes_TTest_VarUnequal","Cauchy",54254966,1000,100,100,0,1,1,1,0,0,0,0.019,0.0105381099983514,0.0274618900016486,0.047,0.0359906600663346,0.0580093399336654
"Bayes_TTest_VarUnequal","Cauchy",37935,1000,100,100,0,0.5,0.5,1,0.002,-0.00163936929920556,0.00563936929920556,0.028,0.0177748845678887,0.0382251154321113,0.074,0.060382817578515,0.087617182421485
"Bayes_TTest_VarUnequal","Cauchy",40032343,1000,100,100,0,2,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.022,0.0129084728675541,0.0310915271324459,0.061,0.0485501644197604,0.0734498355802396
"Bayes_TTest_VarUnequal","Cauchy",550149,1000,100,100,0,0.5,2,1,0,0,0,0.013,0.0059792044895183,0.0200207955104817,0.047,0.0359906600663346,0.0580093399336654
"Bayes_TTest_VarUnequal","Cauchy",73389,1000,100,100,0,1,2,1,0,0,0,0.016,0.00822297290733792,0.0237770270926621,0.057,0.044939670411842,0.069060329588158
"Bayes_TTest_VarUnequal","Cauchy",204734270,1000,100,100,0.5,1,1,0,0.005,-0.000745692786775151,0.0107456927867752,0.035,0.0236092124943005,0.0463907875056995,0.086,0.0714156114595092,0.100584388540491
"Bayes_TTest_VarUnequal","Cauchy",4312786,1000,100,100,0.5,0.5,0.5,0,0.026,0.0130368062799324,0.0389631937200676,0.077,0.0604764908811718,0.0935235091188282,0.137,0.119113243956072,0.154886756043928
"Bayes_TTest_VarUnequal","Cauchy",11501742,1000,100,100,0.5,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.035,0.0236092124943005,0.0463907875056995,0.076,0.0622149392601991,0.0897850607398009
"Bayes_TTest_VarUnequal","Cauchy",192929018,1000,100,100,0.5,0.5,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.036,0.0244536202037175,0.0475463797962825,0.088,0.0732631501873704,0.10273684981263
"Bayes_TTest_VarUnequal","Cauchy",29650,1000,100,100,0.5,1,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.031,0.0202576621538885,0.0417423378461115,0.072,0.0585535965254645,0.0854464034745355
"Bayes_TTest_VarUnequal","Cauchy",8180558,1000,100,100,1,1,1,0,0.024,0.0115325857923946,0.0364674142076054,0.088,0.0704412002232499,0.10555879977675,0.148,0.129527887819743,0.166472112180257
"Bayes_TTest_VarUnequal","Cauchy",261080,1000,100,100,1,0.5,0.5,0,0.118,0.0917202545108215,0.144279745489179,0.228,0.201996479746004,0.254003520253996,0.308,0.283984352092854,0.332015647907146
"Bayes_TTest_VarUnequal","Cauchy",52640494,1000,100,100,1,2,2,0,0.005,-0.000745692786775151,0.0107456927867752,0.027,0.0169539722476991,0.0370460277523009,0.072,0.0585535965254645,0.0854464034745355
"Bayes_TTest_VarUnequal","Cauchy",186535,1000,100,100,1,0.5,2,0,0.008,0.000743174362298623,0.0152568256377014,0.054,0.0399912779169547,0.0680087220830453,0.107,0.0909200934463225,0.123079906553677
"Bayes_TTest_VarUnequal","Cauchy",181224372,1000,100,100,1,1,2,0,0.008,0.000743174362298623,0.0152568256377014,0.036,0.0244536202037175,0.0475463797962825,0.088,0.0732631501873704,0.10273684981263
"Bayes_TTest_VarUnequal","Cauchy",18969858,1000,100,100,1.5,1,1,0,0.056,0.0372705135557859,0.0747294864442141,0.132,0.111020124843079,0.152979875156921,0.215,0.193629240318253,0.236370759681747
"Bayes_TTest_VarUnequal","Cauchy",187893536,1000,100,100,1.5,0.5,0.5,0,0.205,0.172114355812908,0.237885644187092,0.342,0.312597648094072,0.371402351905928,0.438,0.412191003702197,0.463808996297803
"Bayes_TTest_VarUnequal","Cauchy",7496850,1000,100,100,1.5,2,2,0,0.01,0.00189480522134107,0.0181051947786589,0.053,0.0391142610711565,0.0668857389288435,0.111,0.0946590134638388,0.127340986536161
"Bayes_TTest_VarUnequal","Cauchy",32482731,1000,100,100,1.5,0.5,2,0,0.031,0.0168814988308249,0.0451185011691751,0.11,0.0906068919458484,0.129393108054152,0.177,0.157145797226406,0.196854202773594
"Bayes_TTest_VarUnequal","Cauchy",44805570,1000,100,100,1.5,1,2,0,0.021,0.00931989217584016,0.0326801078241598,0.086,0.0686228562070748,0.103377143792925,0.16,0.140929348202015,0.179070651797985
"Bayes_TTest_VarUnequal","Cauchy",926832,1000,100,100,2,1,1,0,0.103,0.0782394268964549,0.127760573103545,0.228,0.201996479746004,0.254003520253996,0.3,0.276161685252518,0.323838314747482
"Bayes_TTest_VarUnequal","Cauchy",32367,1000,100,100,2,0.5,0.5,0,0.334,0.295580102075305,0.372419897924695,0.464,0.433090110216955,0.494909889783045,0.544,0.518091171666785,0.569908828333215
"Bayes_TTest_VarUnequal","Cauchy",17284955,1000,100,100,2,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.077,0.0604764908811718,0.0935235091188282,0.138,0.120058486410004,0.155941513589996
"Bayes_TTest_VarUnequal","Cauchy",25587,1000,100,100,2,0.5,2,0,0.072,0.0509435043462593,0.0930564956537407,0.174,0.150502550810779,0.19749744918922,0.255,0.232326731612425,0.277673268387575
"Bayes_TTest_VarUnequal","Cauchy",104548,1000,100,100,2,1,2,0,0.04,0.0240371118402715,0.0559628881597285,0.126,0.105431763361921,0.146568236638079,0.199,0.178231329388355,0.219768670611645
"Bayes_TTest_VarUnequal","Cauchy",734634,1000,100,100,2.5,1,1,0,0.154,0.124597016471385,0.183402983528615,0.276,0.24829361303959,0.30370638696041,0.354,0.329123814177009,0.378876185822991
"Bayes_TTest_VarUnequal","Cauchy",3584277,1000,100,100,2.5,0.5,0.5,0,0.413,0.372891175391742,0.453108824608258,0.513,0.482020155429699,0.543979844570301,0.58,0.554325349272093,0.605674650727907
"Bayes_TTest_VarUnequal","Cauchy",16683,1000,100,100,2.5,2,2,0,0.027,0.0137966492398331,0.0402033507601669,0.085,0.0677147334414537,0.102285266558546,0.159,0.139977724716139,0.178022275283861
"Bayes_TTest_VarUnequal","Cauchy",38414094,1000,100,100,2.5,0.5,2,0,0.099,0.0746709107563805,0.123329089243619,0.216,0.190494080875216,0.241505919124784,0.301,0.277139049600341,0.324860950399659
"Bayes_TTest_VarUnequal","Cauchy",275424374,1000,100,100,2.5,1,2,0,0.072,0.0509435043462593,0.0930564956537407,0.149,0.126929407837577,0.171070592162423,0.245,0.222627092849274,0.267372907150726
"Bayes_TTest_VarUnequal","Cauchy",31369596,1000,10,100,0,1,1,1,0,0,0,0.014,0.00671786800449209,0.0212821319955079,0.041,0.0306850498316764,0.0513149501683236
"Bayes_TTest_VarUnequal","Cauchy",108618701,1000,10,100,0,0.5,0.5,1,0.001,-0.0015747116778389,0.0035747116778389,0.018,0.00975960428134668,0.0262403957186533,0.043,0.0324474820646919,0.0535525179353081
"Bayes_TTest_VarUnequal","Cauchy",55683803,1000,10,100,0,2,2,1,0.002,-0.00163936929920556,0.00563936929920556,0.016,0.00822297290733792,0.0237770270926621,0.044,0.0333310621147183,0.0546689378852817
"Bayes_TTest_VarUnequal","Cauchy",5208943,1000,10,100,0,0.5,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.016,0.00822297290733792,0.0237770270926621,0.043,0.0324474820646919,0.0535525179353081
"Bayes_TTest_VarUnequal","Cauchy",24420,1000,10,100,0,1,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.011,0.00453526749199938,0.0174647325080006,0.045,0.0342161498352861,0.0557838501647139
"Bayes_TTest_VarUnequal","Cauchy",33904356,1000,10,100,0.5,1,1,0,0.002,-0.00163936929920556,0.00563936929920556,0.026,0.0161367004303834,0.0358632995696166,0.056,0.0440395942543741,0.0679604057456259
"Bayes_TTest_VarUnequal","Cauchy",44618,1000,10,100,0.5,0.5,0.5,0,0.016,0.00577876439250127,0.0262212356074987,0.058,0.0435124309285512,0.0724875690714488,0.107,0.0909200934463225,0.123079906553677
"Bayes_TTest_VarUnequal","Cauchy",67820067,1000,10,100,0.5,2,2,0,0.003,-0.00145506520895037,0.00745506520895037,0.014,0.00671786800449209,0.0212821319955079,0.052,0.0404502723668478,0.0635497276331522
"Bayes_TTest_VarUnequal","Cauchy",136894527,1000,10,100,0.5,0.5,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.026,0.0161367004303834,0.0358632995696166,0.066,0.0530844974894509,0.0789155025105491
"Bayes_TTest_VarUnequal","Cauchy",1244097,1000,10,100,0.5,1,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.021,0.0121129614381393,0.0298870385618608,0.06,0.0476460609520688,0.0723539390479312
"Bayes_TTest_VarUnequal","Cauchy",57422,1000,10,100,1,1,1,0,0.013,0.00377266875765262,0.0222273312423474,0.059,0.0443958296914888,0.0736041703085112,0.12,0.103095673926477,0.136904326073523
"Bayes_TTest_VarUnequal","Cauchy",303550,1000,10,100,1,0.5,0.5,0,0.087,0.0640416393560864,0.109958360643914,0.183,0.159034160611404,0.206965839388596,0.271,0.247878590160308,0.294121409839692
"Bayes_TTest_VarUnequal","Cauchy",279169635,1000,10,100,1,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.022,0.0129084728675541,0.0310915271324459,0.064,0.0512680825638869,0.0767319174361131
"Bayes_TTest_VarUnequal","Cauchy",85899,1000,10,100,1,0.5,2,0,0.007,0.000208440607931048,0.013791559392069,0.048,0.0347506319546931,0.0612493680453069,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarUnequal","Cauchy",8210002,1000,10,100,1,1,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.032,0.0210914069834832,0.0429085930165168,0.079,0.0649683332075266,0.0930316667924734
