"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Exp",65114124,10000,10,10,1.5,0.5,0,0.3105,0.298580890868458,0.322419109131542,0.6094,0.599837456676051,0.618962543323949,0.7499,0.742775991565911,0.757024008434089,7499,6094,3105
"AD","Exp",27627189,10000,10,10,1.5,0.25,0,0.0764,0.0695571897051062,0.0832428102948937,0.2376,0.229257989477446,0.245942010522554,0.3707,0.362754777548125,0.378645222451875,3707,2376,764
"AD","Exp",120102,10000,10,10,1.5,0.125,0,0.0228,0.0189549232646908,0.0266450767353092,0.0982,0.0923673363784974,0.104032663621503,0.1819,0.175554213621231,0.188245786378769,1819,982,228
"AD","Exp",444523,10000,10,10,2,1,0,0.9445,0.93860215531761,0.95039784468239,0.9911,0.989259186406395,0.992940813593605,0.998,0.997265069669969,0.998734930330031,9980,9911,9445
"AD","Exp",301000562,10000,10,10,2,0.5,0,0.5136,0.500724765451181,0.526475234548819,0.7973,0.789420587669528,0.805179412330472,0.8919,0.886792165334511,0.897007834665489,8919,7973,5136
"AD","Exp",56410,10000,10,10,2,0.25,0,0.1362,0.127364298971454,0.145035701028546,0.3631,0.353674490830602,0.372525509169398,0.5079,0.499676026708581,0.516123973291419,5079,3631,1362
"AD","Exp",308794588,10000,10,10,2,0.125,0,0.0368,0.0319501533683037,0.0416498466316963,0.1398,0.133003123541391,0.146596876458609,0.2387,0.231687545979347,0.245712454020653,2387,1398,368
"AD","Exp",492998,10000,10,10,2.5,1,0,0.9857,0.982641656543719,0.988758343456281,0.9986,0.997867148687386,0.999332851312614,0.9997,0.999415120383714,0.999984879616286,9997,9986,9857
"AD","Exp",5875196,10000,10,10,2.5,0.5,0,0.687,0.675054718299446,0.698945281700554,0.9013,0.895454127578402,0.907145872421598,0.9572,0.953870422471784,0.960529577528216,9572,9013,6870
"AD","Exp",1628491,10000,10,10,2.5,0.25,0,0.2242,0.213456679043874,0.234943320956126,0.493,0.483200960447064,0.502799039552936,0.6446,0.636726464959683,0.652473535040317,6446,4930,2242
"AD","Exp",85542,10000,10,10,2.5,0.125,0,0.0507,0.0450486581473976,0.0563513418526024,0.1779,0.170404400570041,0.185395599429959,0.2982,0.290674655194086,0.305725344805914,2982,1779,507
"AD","Exp",17266231,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Exp",50495,10000,10,10,5,0.5,0,0.9838,0.980547953288365,0.987052046711635,0.9986,0.997867148687386,0.999332851312614,1,1,1,10000,9986,9838
"AD","Exp",33180,10000,10,10,5,0.25,0,0.681,0.668993546141912,0.693006453858088,0.9012,0.895351491368768,0.907048508631232,0.9589,0.955634321157711,0.962165678842289,9589,9012,6810
"AD","Exp",1284952,10000,10,10,5,0.12,0,0.203,0.192638490289461,0.213361509710539,0.4642,0.454425152421772,0.473974847578228,0.622,0.614023598719347,0.629976401280653,6220,4642,2030
"AD","Exp",450156,10000,10,10,0,1.5,1,0.0092,0.00674057959837363,0.0116594204016264,0.0515,0.0471681006890741,0.0558318993109259,0.1039,0.0988805987472633,0.108919401252737,1039,515,92
"AD","Exp",4877244,10000,10,10,0.5,1.5,0,0.3084,0.29650318972579,0.32029681027421,0.6023,0.592707312462422,0.611892687537578,0.7465,0.739344008926475,0.753655991073525,7465,6023,3084
"AD","Exp",28880644,10000,10,10,1,1.5,0,0.8042,0.79397803859628,0.81442196140372,0.9526,0.948435138816431,0.956764861183569,0.9845,0.982467925567462,0.986532074432538,9845,9526,8042
"AD","Exp",8753070,10000,10,10,1.5,1.5,0,0.9692,0.964749304118957,0.973650695881043,0.9969,0.995810410984637,0.997989589015363,0.9993,0.998864926265128,0.999735073734871,9993,9969,9692
"AD","Exp",37009542,10000,10,10,2,1.5,0,0.9968,0.995345127742592,0.998254872257408,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9968
"AD","Exp",1404599,10000,10,10,2.5,1.5,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"AD","Exp",165329,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Exp",79798329,10000,20,20,0,1,1,0.0092,0.00674057959837363,0.0116594204016264,0.0479,0.0437143287928458,0.0520856712071542,0.0989,0.0939892192707295,0.103810780729271,989,479,92
"AD","Exp",1858385,10000,20,20,0,0.5,1,0.0083,0.00596291202152422,0.0106370879784758,0.0519,0.0475522273768745,0.0562477726231255,0.1066,0.101523463901921,0.111676536098079,1066,519,83
